lookup_name,lookup_name_norm,drug_category,lookup_type,match_pattern,source,nomor_registrasi,zat_aktif
GIONIX,GIONIX,ace_arb,product,CANDESARTAN,curated_rule,DKL1521645010A1 | DKL1521645010B1,CANDESARTAN CILEXETIL
GIRABLOC,GIRABLOC,antibiotik_fluorokuinolon,product,CIPROFLOXACIN,curated_rule,DKL0208506617A1,CIPROFLOXACIN HYDROCHLORIDE MONOHYDRATE
GITARAMIN,GITARAMIN,nsaid,product,MEFENAMIC,curated_rule,DKL9618205809A1,MEFENAMIC ACID
GIVENTOR 10,GIVENTOR 10,statin,product,ROSUVASTATIN,curated_rule,DKL1918218117A1,ROSUVASTATIN CALCIUM
GIVENTOR 20,GIVENTOR 20,statin,product,ROSUVASTATIN,curated_rule,DKL1918218117B1,ROSUVASTATIN CALCIUM
GLAMAROL 1,GLAMAROL 1,antidiabetes,product,GLIMEPIRIDE,curated_rule,DKL0408013310A1,GLIMEPIRIDE
GLAMAROL 2,GLAMAROL 2,antidiabetes,product,GLIMEPIRIDE,curated_rule,DKL0408013310B1,GLIMEPIRIDE
GLAMAROL 3,GLAMAROL 3,antidiabetes,product,GLIMEPIRIDE,curated_rule,DKL0408013310C1,GLIMEPIRIDE
GLAMAROL 4,GLAMAROL 4,antidiabetes,product,GLIMEPIRIDE,curated_rule,DKL0408013310D1,GLIMEPIRIDE
GLARITUS,GLARITUS,antidiabetes,product,INSULIN,curated_rule,DKI2158300143A1,INSULIN GLARGINE
GLENISTAN,GLENISTAN,nsaid,product,MEFENAMIC,curated_rule,DKL1416703009A1,MEFENAMIC ACID
GLIABETES,GLIABETES,antidiabetes,product,PIOGLITAZONE,curated_rule,DKL1022247510A1,PIOGLITAZONE HYDROCHLORIDE
GLIARIDE 2,GLIARIDE 2,antidiabetes,product,GLIMEPIRIDE,curated_rule,LKE25188005,GLIMEPIRIDE
GLIBENCLAMIDE,GLIBENCLAMIDE,antidiabetes,active_alias,GLIBENCLAMIDE,curated_rule,,GLIBENCLAMIDE
GLIBENCLAMIDE,GLIBENCLAMIDE,antidiabetes,product,GLIBENCLAMIDE,curated_rule,GKL0007113404A1 | GKL2508522110A1 | GKL9520905004A2,GLIBENCLAMIDE
GLICLAZIDE,GLICLAZIDE,antidiabetes,active_alias,GLICLAZIDE,curated_rule,,GLICLAZIDE
GLICLAZIDE,GLICLAZIDE,antidiabetes,product,GLICLAZIDE,curated_rule,GKL1805059010A1 | GKL2102363910A1 | GKL2131548714A1 | GKL2344406410A1 | GKL2405067414A1 | GKL2444408714A1,GLICLAZIDE
GLICOLOCK XR,GLICOLOCK XR,antidiabetes,product,METFORMIN,curated_rule,DKL1840401306B1,METFORMIN HYDROCHLORIDE
GLIDIA MR,GLIDIA MR,antidiabetes,product,GLICLAZIDE,curated_rule,DKL2513031106A1,GLICLAZIDE
GLIFORMIN 500,GLIFORMIN 500,antidiabetes,product,METFORMIN,curated_rule,DKL0322717809A1,METFORMIN HYDROCHLORIDE
GLIKAMIA,GLIKAMIA,antidiabetes,product,GLICLAZIDE,curated_rule,DKL2444408410A1,GLICLAZIDE
GLIKAMIA MR,GLIKAMIA MR,antidiabetes,product,GLICLAZIDE,curated_rule,DKL2444408814A1,GLICLAZIDE
GLIKOS 500,GLIKOS 500,antidiabetes,product,METFORMIN,curated_rule,DKL0609215609A1,METFORMIN HYDROCHLORIDE
GLIKOS 850,GLIKOS 850,antidiabetes,product,METFORMIN,curated_rule,DKL0609215609B1,METFORMIN HYDROCHLORIDE
GLIMEFION,GLIMEFION,antidiabetes,product,GLIMEPIRIDE,curated_rule,DKL1240801410A1 | DKL1240801410B1 | DKL1840801410C1,GLIMEPIRIDE
GLIMEPIRIDE,GLIMEPIRIDE,antidiabetes,active_alias,GLIMEPIRIDE,curated_rule,,GLIMEPIRIDE
