lookup_name,lookup_name_norm,drug_category,lookup_type,match_pattern,source,nomor_registrasi,zat_aktif
A-B VASK 10,A B VASK 10,ccb,product,AMLODIPINE,curated_rule,DKL0813313810B1,AMLODIPINE BESILATE
A-B VASK 5,A B VASK 5,ccb,product,AMLODIPINE,curated_rule,DKL0813313810A1,AMLODIPINE BESILATE
ACARBOSE,ACARBOSE,antidiabetes,active_alias,ACARBOSE,curated_rule,,ACARBOSE
ACARBOSE,ACARBOSE,antidiabetes,product,ACARBOSE,curated_rule,GKL1105045110A1 | GKL1431536510A1 | GKL1431536510B1 | GKL2133552310A1 | GKL2133552310B1 | GKL2244405010B1,ACARBOSE
ACEPRESS,ACEPRESS,ace_arb,product,CAPTOPRIL,curated_rule,DKL8502310410A1 | DKL9502310410B1,CAPTOPRIL
ACETAMINOPHEN + CAFFEINE ANHYDROUS,ACETAMINOPHEN CAFFEINE ANHYDROUS,xantin,product,CAFFEINE,curated_rule,LKE14147023,PARACETAMOL. CAFFEINE
ACETYLSALICYLIC,ACETYLSALICYLIC,nsaid,active_alias,ACETYLSALICYLIC,curated_rule,,ACETYLSALICYLIC
ACETYLSALICYLIC ACID,ACETYLSALICYLIC ACID,nsaid,product,ACETYLSALICYLIC,curated_rule,GKL1919933715A1 | GKL2544411915A1,ACETYLSALICYLIC ACID
ACLONAC,ACLONAC,nsaid,product,DICLOFENAC,curated_rule,DTL1021634228A1,DICLOFENAC DIETHYLAMINE
ACLONAC 25,ACLONAC 25,nsaid,product,DICLOFENAC,curated_rule,DKL0621632117A1 | DKL2440409417A1,DICLOFENAC POTASSIUM
ACLONAC 50,ACLONAC 50,nsaid,product,DICLOFENAC,curated_rule,DKL2440409417B1,DICLOFENAC POTASSIUM
ACLONAC COOL,ACLONAC COOL,nsaid,product,DICLOFENAC,curated_rule,DTL2240408128A1,DICLOFENAC DIETHYLAMINE
ACNOPAIN 120,ACNOPAIN 120,nsaid,product,ETORICOXIB,curated_rule,DKL2305519517A1,ETORICOXIB
ACNOPAIN 60,ACNOPAIN 60,nsaid,product,ETORICOXIB,curated_rule,DKL2305519517C1,ETORICOXIB
ACNOPAIN 90,ACNOPAIN 90,nsaid,product,ETORICOXIB,curated_rule,DKL2305519517B1,ETORICOXIB
ACRIOS,ACRIOS,antidiabetes,product,ACARBOSE,curated_rule,DKL1205516010A1 | DKL1205516010B1,ACARBOSE
ACTAPIN 10,ACTAPIN 10,ccb,product,AMLODIPINE,curated_rule,DKL1005515210B1,AMLODIPINE BESILATE
ACTAPIN 5,ACTAPIN 5,ccb,product,AMLODIPINE,curated_rule,DKL1005515210A1,AMLODIPINE BESILATE
ACTOS,ACTOS,antidiabetes,product,PIOGLITAZONE,curated_rule,DKL0125102110A1 | DKL0125102110B1,PIOGLITAZONE HYDROCHLORIDE
ACTRAPID HM PENFILL,ACTRAPID HM PENFILL,antidiabetes,product,INSULIN,curated_rule,DKI1742000543A1,INSULIN HUMAN
ACTREL,ACTREL,nsaid,product,CELECOXIB,curated_rule,DKL2140406201A1 | DKL2140406201B1,CELECOXIB
ACUVAIL,ACUVAIL,nsaid,product,KETOROLAC,curated_rule,DKI2087400846A1,KETOROLAC TROMETAMOL
ADALAT OROS,ADALAT OROS,ccb,product,NIFEDIPINE,curated_rule,DKL1802009414B1,NIFEDIPINE
ADECCO,ADECCO,antidiabetes,product,METFORMIN,curated_rule,DKL1821647404A1,METFORMIN HYDROCHLORIDE
ADECCO XR,ADECCO XR,antidiabetes,product,METFORMIN,curated_rule,DKL1421643906A1,METFORMIN HYDROCHLORIDE
AFIBRAMOL EXTRA,AFIBRAMOL EXTRA,xantin,product,CAFFEINE,curated_rule,DBL2601712704A1 | DBL2601712704A2,CAFFEINE
AFITAMOL EXTRA,AFITAMOL EXTRA,xantin,product,CAFFEINE,curated_rule,DBL2301605510A1,CAFFEINE
AKILEN,AKILEN,antibiotik_fluorokuinolon,product,OFLOXACIN,curated_rule,DKL1022247948A1 | DKL2022258546A1,OFLOXACIN
AKILEN 200,AKILEN 200,antibiotik_fluorokuinolon,product,OFLOXACIN,curated_rule,DKL9222213017A1,OFLOXACIN
AKILEN 400,AKILEN 400,antibiotik_fluorokuinolon,product,OFLOXACIN,curated_rule,DKL9522213017B1,OFLOXACIN
AKNIL,AKNIL,nsaid,product,IBUPROFEN,curated_rule,DTL9731804009A1,IBUPROFEN | IBUPROFEN. PARACETAMOL
ALAXAN,ALAXAN,nsaid,product,IBUPROFEN,curated_rule,LKE13147017,PARACETAMOL. IBUPROFEN
ALAXAN FR,ALAXAN FR,nsaid,product,IBUPROFEN,curated_rule,DTL2604533101A1 | LKE13147019,IBUPROFEN | PARACETAMOL. IBUPROFEN
ALIF 500,ALIF 500,nsaid,product,NAPROXEN,curated_rule,DKL1222721904A1,NAPROXEN SODIUM
ALLOGON,ALLOGON,nsaid,product,MEFENAMIC,curated_rule,DKL9213007409A1,MEFENAMIC ACID
ALPENTIN,ALPENTIN,antikonvulsan,product,GABAPENTIN,curated_rule,DKL0805514101B1,GABAPENTIN
AMADIAB - 1,AMADIAB 1,antidiabetes,product,GLIMEPIRIDE,curated_rule,DKL0413312404A2,GLIMEPIRIDE
AMADIAB - 2,AMADIAB 2,antidiabetes,product,GLIMEPIRIDE,curated_rule,DKL0413312404B2,GLIMEPIRIDE
AMADIAB - 3,AMADIAB 3,antidiabetes,product,GLIMEPIRIDE,curated_rule,DKL0413312404C2,GLIMEPIRIDE
AMADIAB - 4,AMADIAB 4,antidiabetes,product,GLIMEPIRIDE,curated_rule,DKL0413312404D2,GLIMEPIRIDE
AMCOR,AMCOR,ccb,product,AMLODIPINE,curated_rule,DKL0715808010A1,AMLODIPINE BESILATE
AMIDAFLAM 50,AMIDAFLAM 50,nsaid,product,DICLOFENAC,curated_rule,DKL2138600917A1,DICLOFENAC POTASSIUM
AMIDEX,AMIDEX,nsaid,product,DEXKETOPROFEN,curated_rule,DKL2435312417A1,DEXKETOPROFEN TROMETAMOL
AMIDOL EXTRA,AMIDOL EXTRA,xantin,product,CAFFEINE,curated_rule,DBL2338601604A1,PARACETAMOL. CAFFEINE
AMINOFILIN,AMINOFILIN,xantin,active_alias,AMINOFILIN,curated_rule,,AMINOFILIN
AMINOPHYLLINE,AMINOPHYLLINE,xantin,active_alias,AMINOPHYLLINE,curated_rule,,AMINOPHYLLINE
AMINOPHYLLINE,AMINOPHYLLINE,xantin,product,AMINOPHYLLINE,curated_rule,GKL8713603943A1 | GKL9104207117A1 | GKL9619905143A1 | GTL2007924317A1,AMINOPHYLLINE
AMISTAN,AMISTAN,nsaid,product,MEFENAMIC,curated_rule,DKL2538602209A1,MEFENAMIC ACID
AMIVASK 10,AMIVASK 10,ccb,product,AMLODIPINE,curated_rule,DKL1207121210B1,AMLODIPINE BESILATE
AMIVASK 5,AMIVASK 5,ccb,product,AMLODIPINE,curated_rule,DKL1207121210A1,AMLODIPINE BESILATE
AMLOCOR 10,AMLOCOR 10,ccb,product,AMLODIPINE,curated_rule,DKL0833520210B1,AMLODIPINE BESILATE
AMLOCOR 5,AMLOCOR 5,ccb,product,AMLODIPINE,curated_rule,DKL0833520210A1,AMLODIPINE BESILATE
AMLODIPIN BESILATE,AMLODIPIN BESILATE,ccb,product,AMLODIPINE,curated_rule,GKL2107926710A1,AMLODIPINE BESILATE
AMLODIPINE,AMLODIPINE,ccb,active_alias,AMLODIPINE,curated_rule,,AMLODIPINE
AMLODIPINE BESILATE,AMLODIPINE BESILATE,ccb,product,AMLODIPINE,curated_rule,GKL0702339410A1 | GKL0702339410A2 | GKL0702339410B1 | GKL0702339410B2 | GKL0705042510A1 | GKL0708513910A1 | GKL0708513910B1 | GKL0731527110A1 | GKL0731527110B1 | GKL0820935510A1 | GKL0820935510B1 | GKL0919927210A1 | GKL0919927210B1 | GKL1009220304A1 | GKL1014811810A1 | GKL1014811810B1 | GKL1018823610A1 | GKL1018823610B1 | GKL1019615210A1 | GKL1019615210B1 | GKL1207121310A1 | GKL1207121310B1 | GKL1233526810A1 | GKL1233526810B1 | GKL1305042510B1 | GKL1309223104A1 | GKL1313707610A1 | GKL1313707610B1 | GKL1316702504B1 | GKL1316702510A1 | GKL1316702510B1 | GKL1316911210A1 | GKL1316911210B1 | GKL1317626510A1 | GKL1317626510B1 | GKL1333212210A1 | GKL1333212210B1 | GKL1340100404A1 | GKL1421644410A1 | GKL1421644410B1 | GKL1506506910A1 | GKL1522723610A1 | GKL1522723610A2 | GKL1522723610B2 | GKL1536705104A1 | GKL1536705104B1 | GKL1606418010A1 | GKL1606418010B1 | GKL1628913810A1 | GKL1628913810B1 | GKL1639203510A1 | GKL1640809010A1 | GKL1640809010B1 | GKL1726011410A1 | GKL1739203510B1 | GKL1814108310B1 | GKL1823414310A1 | GKL1823414704A1 | GKL1834011910A1 | GKL1834011910B1 | GKL1915207910A1 | GKL1915208304A1 | GKL1933316910A1 | GKL1933316910B1 | GKL1943002510A1 | GKL1943002604A1 | GKL2017114410A1 | GKL2017114410B1 | GKL2044201504A1 | GKL2044201504B1 | GKL2107926704A1 | GKL2107926704B1 | GKL2121908804A1 | GKL2121908804B1 | GKL2125805404A1 | GKL2125805410A1 | GKL2125805510A1 | GKL2125907410A1 | GKL2131411610A1 | GKL2144402510A1 | GKL2144402510B1 | GKL2225907410B1 | GKL2231411610B1 | GKL2240702810A1 | GKL2240702810B1 | GKL2409325510A1 | GKL2409325510B1 | GKL2506317910B1 | GKL2531118510A1 | GKL2531118510B1 | GKL2613615210A1,AMLODIPINE BESILATE
AMLODIPINE BESILATE 10,AMLODIPINE BESILATE 10,ccb,product,AMLODIPINE,curated_rule,GKL1316911210B1,AMLODIPINE BESILATE
AMLOGAL 5,AMLOGAL 5,ccb,product,AMLODIPINE,curated_rule,DKL1127805910A1,AMLODIPINE BESILATE
AMLOVAL 10/160,AMLOVAL 10 160,ace_arb,product,VALSARTAN,curated_rule,DKL2513716009A1,VALSARTAN
AMLOVAL 10/160,AMLOVAL 10 160,ccb,product,AMLODIPINE,curated_rule,DKL2513716009A1,AMLODIPINE BESILATE
AMLOVAL 5/80,AMLOVAL 5 80,ace_arb,product,VALSARTAN,curated_rule,DKL2513716017B1,VALSARTAN
AMLOVAL 5/80,AMLOVAL 5 80,ccb,product,AMLODIPINE,curated_rule,DKL2513716017B1,AMLODIPINE BESILATE
ANAFEN,ANAFEN,nsaid,product,IBUPROFEN,curated_rule,DTL0302333933A1,IBUPROFEN
ANALSPEC 500,ANALSPEC 500,nsaid,product,MEFENAMIC,curated_rule,DKL9116105609B1,MEFENAMIC ACID
ANASTAN FORTE,ANASTAN FORTE,nsaid,product,MEFENAMIC,curated_rule,DKL9207802304A1,MEFENAMIC ACID
ANGIOTEN,ANGIOTEN,ace_arb,product,LOSARTAN,curated_rule,DKL9911630217A1,LOSARTAN POTASSIUM
ANGITEL 40,ANGITEL 40,ace_arb,product,TELMISARTAN,curated_rule,DKL2222263304A1,TELMISARTAN
ANGITEL 80,ANGITEL 80,ace_arb,product,TELMISARTAN,curated_rule,DKL2222263304B1,TELMISARTAN
ANPIRIDE 1,ANPIRIDE 1,antidiabetes,product,GLIMEPIRIDE,curated_rule,DKL0722244310A1,GLIMEPIRIDE
ANPIRIDE 2,ANPIRIDE 2,antidiabetes,product,GLIMEPIRIDE,curated_rule,DKL0722244310B1,GLIMEPIRIDE
ANPIRIDE 3,ANPIRIDE 3,antidiabetes,product,GLIMEPIRIDE,curated_rule,DKL0722244310C1,GLIMEPIRIDE
ANPIRIDE 4,ANPIRIDE 4,antidiabetes,product,GLIMEPIRIDE,curated_rule,DKL0722244310D1,GLIMEPIRIDE
ANTITEN-A,ANTITEN A,antikoagulan,product,ENOXAPARIN,curated_rule,DKL2102907843A1,ENOXAPARIN SODIUM
APIDRA,APIDRA,antidiabetes,product,INSULIN,curated_rule,DKI0559201843A1 | DKI0559201843A5,INSULIN GLULISINE
APIFAR,APIFAR,antikoagulan,product,APIXABAN,curated_rule,DKL2531552917A1 | DKL2531552917B1,APIXABAN
APIGAT,APIGAT,antikoagulan,product,APIXABAN,curated_rule,DKI2249501017A1 | DKI2249501017B1,APIXABAN
APIXABAN,APIXABAN,antikoagulan,active_alias,APIXABAN,curated_rule,,APIXABAN
APIXABAN,APIXABAN,antikoagulan,product,APIXABAN,curated_rule,GKL2409505017A1 | GKL2409505017B1 | GKL2531553017A1 | GKL2531553017B1 | GKL2543506017A1 | GKL2543506017B1,APIXABAN
APRION,APRION,antikonvulsan,product,PREGABALIN,curated_rule,DKL1021634301A1 | DKL1021634301B1 | DKL1021634301C1,PREGABALIN
APRIXA,APRIXA,antikoagulan,product,APIXABAN,curated_rule,DKI2218604517A1 | DKI2518604517B1 | DKL2543505917A1 | DKL2543505917B1,APIXABAN
APROVEL,APROVEL,ace_arb,product,IRBESARTAN,curated_rule,DKI1077402717B1 | DKI1077402717C1,IRBESARTAN
APTOR,APTOR,nsaid,product,ACETYLSALICYLIC,curated_rule,DKL9417805715A1,ACETYLSALICYLIC ACID
ARBUPON,ARBUPON,nsaid,product,IBUPROFEN,curated_rule,DKL9621010009A1 | DTL1421021233A1,IBUPROFEN
ARCOXIA,ARCOXIA,nsaid,product,ETORICOXIB,curated_rule,DKL1906609417A1 | DKL1906609417B1 | DKL1906609417C1 | LKE17066169 | LKE20066190 | LKE20066191 | LKE20066194 | LKE20066195,ETORICOXIB
ARFEN,ARFEN,nsaid,product,IBUPROFEN,curated_rule,DKL0733404204A1 | DTL1533406633A1,IBUPROFEN
ARFEN FORTE,ARFEN FORTE,nsaid,product,IBUPROFEN,curated_rule,DTL1533406633B1,IBUPROFEN
ARFLAM 50,ARFLAM 50,nsaid,product,DICLOFENAC,curated_rule,DKL2201605317A1,DICLOFENAC POTASSIUM
ARGESID,ARGESID,nsaid,product,MEFENAMIC,curated_rule,DKL0033201109A1,MEFENAMIC ACID
ARIMED,ARIMED,nsaid,product,MELOXICAM,curated_rule,DKL0533206310B1,MELOXICAM
ARIXTRA,ARIXTRA,antikoagulan,product,FONDAPARINUX,curated_rule,DKI1785100943A1,FONDAPARINUX SODIUM
ARTIMATIC 10,ARTIMATIC 10,nsaid,product,PIROXICAM,curated_rule,DKL9917107401A1,PIROXICAM
ARTIMATIC 20,ARTIMATIC 20,nsaid,product,PIROXICAM,curated_rule,DKL9917107401B1,PIROXICAM
ARTOXICAM 20,ARTOXICAM 20,nsaid,product,PIROXICAM,curated_rule,DKL2201605401A1,PIROXICAM
ARTRILOX,ARTRILOX,nsaid,product,MELOXICAM,curated_rule,DKL9904125810B1,MELOXICAM
ASCARDIA,ASCARDIA,nsaid,product,ACETYLSALICYLIC,curated_rule,DKL9321613715A1,ACETYLSALICYLIC ACID
ASIMAT 500,ASIMAT 500,nsaid,product,MEFENAMIC,curated_rule,DKL9833300909A1,MEFENAMIC ACID
ASMEF,ASMEF,nsaid,product,MEFENAMIC,curated_rule,DKL1019615709A1,MEFENAMIC ACID
ASPILETS,ASPILETS,nsaid,product,ACETYLSALICYLIC,curated_rule,DKL2314711815A1 | DKL7214703063A1 | LKE17147051,ACETYLSALICYLIC ACID
ASPIRIN,ASPIRIN,nsaid,active_alias,ASPIRIN,curated_rule,,ASPIRIN
ASPIRIN,ASPIRIN,nsaid,product,ACETYLSALICYLIC,curated_rule,DBL8802001410A1,ACETYLSALICYLIC ACID
ASPRO 300,ASPRO 300,nsaid,product,ASPIRIN,curated_rule,LKE26020034,COATED ASPIRIN
ASPRO 500,ASPRO 500,nsaid,product,ASPIRIN,curated_rule,LKE26020035,COATED ASPIRIN
ASTIKA,ASTIKA,nsaid,product,ACETYLSALICYLIC,curated_rule,DKL9609311615A1,ACETYLSALICYLIC ACID
ATOFAR 10,ATOFAR 10,statin,product,ATORVASTATIN,curated_rule,DKL1031529817A1,ATORVASTATIN CALCIUM TRIHYDRATE
ATOFAR 20,ATOFAR 20,statin,product,ATORVASTATIN,curated_rule,DKL1031529817B1,ATORVASTATIN CALCIUM TRIHYDRATE
ATOFIT,ATOFIT,statin,product,ATORVASTATIN,curated_rule,DKL2043501417A1 | DKL2043501417B1 | DKL2043501417C1,ATORVASTATIN CALCIUM TRIHYDRATE
ATOPID,ATOPID,statin,product,ATORVASTATIN,curated_rule,DKL1702353309A1 | DKL1702353317A1,ATORVASTATIN CALCIUM TRIHYDRATE
ATORVASTATIN,ATORVASTATIN,statin,active_alias,ATORVASTATIN,curated_rule,,ATORVASTATIN
ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM,statin,product,ATORVASTATIN,curated_rule,GKL1408517817A1 | GKL1408517817B1 | GKL1433532017A1 | GKL1433532017B1 | GKL1721646317A1 | GKL1821646317B1 | GKL1902506709A1 | GKL1902506709B1 | GKL2102506709C1 | GKL2218834717A1 | GKL2333532017C1,ATORVASTATIN CALCIUM | ATORVASTATIN CALCIUM TRIHYDRATE
ATORVASTATIN CALCIUM TRIHYDRATE,ATORVASTATIN CALCIUM TRIHYDRATE,statin,product,ATORVASTATIN,curated_rule,GKL1031529917A1 | GKL1031529917B1 | GKL1031529917C1 | GKL1413318709A1 | GKL1413318709B1 | GKL1604526117A1 | GKL1604526117B1 | GKL1634604217A1 | GKL1634604217B1 | GKL1705058517A1 | GKL1705058517B1 | GKL1716704009C1 | GKL1740809309A1 | GKL1740809317A1 | GKL1905058517C1 | GKL1938202509A1 | GKL1938202509B1 | GKL1938202509C1 | GKL2021028209A1 | GKL2043007417A1 | GKL2043007417B1 | GKL2043501317A1 | GKL2043501317B1 | GKL2043501317C1 | GKL2513615117A1 | GKL2513615117B1,ATORVASTATIN CALCIUM TRIHYDRATE
ATOZET,ATOZET,statin,product,ATORVASTATIN,curated_rule,DKI1863501217A1 | DKI1863501217B1 | DKI1863501217C1 | DKI2569600117A1 | DKI2569600117B1 | DKI2569600117C1,ATORVASTATIN CALCIUM TRIHYDRATE | ATORVASTATIN CALCIUM TRIHYDRATE. EZETIMIBE | EZETIMIBE. ATORVASTATIN CALCIUM TRIHYDRATE
ATROCOX 15,ATROCOX 15,nsaid,product,MELOXICAM,curated_rule,DKL1128205710B1,MELOXICAM
"ATROCOX 7,5",ATROCOX 7 5,nsaid,product,MELOXICAM,curated_rule,DKL1128205710A1,MELOXICAM
AUXIFEN,AUXIFEN,nsaid,product,IBUPROFEN,curated_rule,DTL2009612510A1,IBUPROFEN. PARACETAMOL
AVASTOR 20,AVASTOR 20,statin,product,ATORVASTATIN,curated_rule,DKL2413029009B1,ATORVASTATIN CALCIUM TRIHYDRATE
AVASTOR 40,AVASTOR 40,statin,product,ATORVASTATIN,curated_rule,DKL2213029009A1,ATORVASTATIN CALCIUM TRIHYDRATE
AVELOX,AVELOX,antibiotik_fluorokuinolon,product,MOXIFLOXACIN,curated_rule,DKI0251601749A2,MOXIFLOXACIN HYDROCHLORIDE
AVESCO 10,AVESCO 10,statin,product,ATORVASTATIN,curated_rule,DKL1302505209A1,ATORVASTATIN CALCIUM
AVESCO 20,AVESCO 20,statin,product,ATORVASTATIN,curated_rule,DKL1302505209B1,ATORVASTATIN CALCIUM
AVESCO 40,AVESCO 40,statin,product,ATORVASTATIN,curated_rule,DKL1302505209C1,ATORVASTATIN CALCIUM
AXAPROFEN,AXAPROFEN,nsaid,product,IBUPROFEN,curated_rule,DTL1423412504A1,IBUPROFEN
AXOFEN,AXOFEN,nsaid,product,IBUPROFEN,curated_rule,DTL0823410633A1,IBUPROFEN
AZATHIOPRINE,AZATHIOPRINE,imunosupresan,active_alias,AZATHIOPRINE,curated_rule,,AZATHIOPRINE
BAMGETOL 200,BAMGETOL 200,antikonvulsan,product,CARBAMAZEPINE,curated_rule,DKL9933301010A1,CARBAMAZEPINE
BAQUINOR,BAQUINOR,antibiotik_fluorokuinolon,product,CIPROFLOXACIN,curated_rule,DKL9822224146A1,CIPROFLOXACIN HYDROCHLORIDE | CIPROFLOXACIN HYDROCHLORIDE MONOHYDRATE
BELVAS 10,BELVAS 10,ccb,product,AMLODIPINE,curated_rule,DKL1122721610B2,AMLODIPINE BESILATE
BELVAS 5,BELVAS 5,ccb,product,AMLODIPINE,curated_rule,DKL1122721610A1,AMLODIPINE BESILATE
BENOFOMIN,BENOFOMIN,antidiabetes,product,METFORMIN,curated_rule,DKL9402319417A1 | DKL9502320409A1,METFORMIN HYDROCHLORIDE
BERNOFLOX,BERNOFLOX,antibiotik_fluorokuinolon,product,CIPROFLOXACIN,curated_rule,DKL1002342149A1 | DKL9302317917A1,CIPROFLOXACIN HCL MONOHYDRATE | CIPROFLOXACIN LACTATE MONOHYDRATE
BERTHAMOL,BERTHAMOL,nsaid,product,IBUPROFEN,curated_rule,DTL2138600604A1,IBUPROFEN | PARACETAMOL. IBUPROFEN
BETAVEIN 150,BETAVEIN 150,ace_arb,product,IRBESARTAN,curated_rule,DKL1220937909B1,IRBESARTAN
BETAVEIN 300,BETAVEIN 300,ace_arb,product,IRBESARTAN,curated_rule,DKL1020937909A1,IRBESARTAN
BIFEN,BIFEN,nsaid,product,IBUPROFEN,curated_rule,LKE14055066,IBUPROFEN
BIMACYL,BIMACYL,nsaid,product,IBUPROFEN,curated_rule,DTL0531407610A1,IBUPROFEN | IBUPROFEN. PARACETAMOL
BIMAFLOX 500,BIMAFLOX 500,antibiotik_fluorokuinolon,product,CIPROFLOXACIN,curated_rule,DKL0431408209A1,CIPROFLOXACIN HYDROCHLORIDE MONOHYDRATE
BIMAGEN,BIMAGEN,xantin,product,CAFFEINE,curated_rule,DBL0231408104A1,CAFFEINE
BIMASTAN 500,BIMASTAN 500,nsaid,product,MEFENAMIC,curated_rule,DKL0431407209A1,MEFENAMIC ACID
BINTANG TOEDJOE PUYER NO.16,BINTANG TOEDJOE PUYER NO 16,nsaid,product,ACETYLSALICYLIC,curated_rule,DBL7202812223A1,ACETYLSALICYLIC ACID | ACETYLSALICYLIC ACID. CAFFEINE. PARACETAMOL | ACETYLSALICYLIC ACID. PARACETAMOL. CAFFEINE
BINTANG TOEDJOE PUYER NO.16,BINTANG TOEDJOE PUYER NO 16,xantin,product,CAFFEINE,curated_rule,DBL7202812223A1,ACETYLSALICYLIC ACID. CAFFEINE. PARACETAMOL | ACETYLSALICYLIC ACID. PARACETAMOL. CAFFEINE | CAFFEINE
BLASTOFEN,BLASTOFEN,nsaid,product,DEXKETOPROFEN,curated_rule,DKL2240408517A1,DEXKETOPROFEN TROMETAMOL
BLOCAND 16,BLOCAND 16,ace_arb,product,CANDESARTAN,curated_rule,DKL1821024310B1,CANDESARTAN CILEXETIL
BLOCAND 8,BLOCAND 8,ace_arb,product,CANDESARTAN,curated_rule,DKL1821024310A1,CANDESARTAN CILEXETIL
BLOPIN 16,BLOPIN 16,ace_arb,product,CANDESARTAN,curated_rule,DKL2217631310B1,CANDESARTAN CILEXETIL
BLOPIN 8,BLOPIN 8,ace_arb,product,CANDESARTAN,curated_rule,DKL2217631310A1,CANDESARTAN CILEXETIL
BLOPRESS,BLOPRESS,ace_arb,product,CANDESARTAN,curated_rule,DKL9825101910A1 | DKL9825101910B1,CANDESARTAN CILEXETIL
BODREX,BODREX,xantin,product,CAFFEINE,curated_rule,DBL8522700810A1,CAFFEINE
BODREX EXTRA,BODREX EXTRA,nsaid,product,IBUPROFEN,curated_rule,DTL0622719204A1,IBUPROFEN
BODREX EXTRA,BODREX EXTRA,xantin,product,CAFFEINE,curated_rule,DTL0622719204A1,CAFFEINE
BODREXIN,BODREXIN,nsaid,product,ACETYLSALICYLIC,curated_rule,DBL7222708910A1,ACETYLSALICYLIC ACID
BOSKA,BOSKA,xantin,product,CAFFEINE,curated_rule,DBL8905006110A1 | LKE14050001,PARACETAMOL. CAFFEINE
BRIXA,BRIXA,antikoagulan,product,APIXABAN,curated_rule,DKL2205065717A1 | DKL2205065717B1,APIXABAN
BRONSOLVAN,BRONSOLVAN,xantin,product,THEOPHYLLINE,curated_rule,DTL9211600910A1,THEOPHYLLINE
BRUFEN,BRUFEN,nsaid,product,IBUPROFEN,curated_rule,DKL0400202917B1 | DTL0400203033A1,IBUPROFEN
BRUFEN SUSPENSION 100 MG/ 5 ML,BRUFEN SUSPENSION 100 MG 5 ML,nsaid,product,IBUPROFEN,curated_rule,LKE19002016,IBUPROFEN
BUFABRON,BUFABRON,xantin,product,THEOPHYLLINE,curated_rule,DKL8800906837A1 | DTL8800905901A1,THEOPHYLLINE
BUFACARDO 10,BUFACARDO 10,ccb,product,AMLODIPINE,curated_rule,DKL1300915104B1,AMLODIPINE BESILATE
BUFACARDO 5,BUFACARDO 5,ccb,product,AMLODIPINE,curated_rule,DKL1300915104A1,AMLODIPINE BESILATE
BUFACIPRO,BUFACIPRO,antibiotik_fluorokuinolon,product,CIPROFLOXACIN,curated_rule,DKL1200914909A1,CIPROFLOXACIN HYDROCHLORIDE MONOHYDRATE
BUFACYN 500,BUFACYN 500,antibiotik_tetrasiklin,product,TETRACYCLINE,curated_rule,DKL7600903101A1,TETRACYCLINE HYDROCHLORIDE
BUFAFLAM,BUFAFLAM,nsaid,product,DICLOFENAC,curated_rule,DKL2500918115A1 | DTL1400915328A1,DICLOFENAC DIETHYLAMINE | DICLOFENAC SODIUM
BUFATETRA,BUFATETRA,antibiotik_tetrasiklin,product,TETRACYCLINE,curated_rule,DKL8700900930A1,TETRACYCLINE HYDROCHLORIDE
BUFECT,BUFECT,nsaid,product,IBUPROFEN,curated_rule,DTL9422216017A1 | DTL9922231133A1,IBUPROFEN
BUFECT FORTE,BUFECT FORTE,nsaid,product,IBUPROFEN,curated_rule,DKL9922231133B1,IBUPROFEN
BUFRENA,BUFRENA,nsaid,product,IBUPROFEN,curated_rule,DTL2513715704A1,IBUPROFEN
BUNAFEN RTU,BUNAFEN RTU,nsaid,product,IBUPROFEN,curated_rule,DKI2568300249A1,IBUPROFEN
CADUET,CADUET,ccb,product,AMLODIPINE,curated_rule,DKI1258501317A1 | DKI1258501317B1 | DKI1258501317C1 | DKI1258501317D1 | DKI2558502117A1 | DKI2558502117B1 | DKI2558502117C1 | DKI2558502117D1,AMLODIPINE BESILATE | ATORVASTATIN CALCIUM. AMLODIPINE BESILATE
CADUET,CADUET,statin,product,ATORVASTATIN,curated_rule,DKI1258501317A1 | DKI1258501317B1 | DKI1258501317C1 | DKI1258501317D1 | DKI2558502117A1 | DKI2558502117B1 | DKI2558502117C1 | DKI2558502117D1,ATORVASTATIN CALCIUM | ATORVASTATIN CALCIUM. AMLODIPINE BESILATE
CAFFEINE,CAFFEINE,xantin,active_alias,CAFFEINE,curated_rule,,CAFFEINE
CAFMOSOL,CAFMOSOL,xantin,product,CAFFEINE,curated_rule,DBL9933400304A1,CAFFEINE
CALDOLOR,CALDOLOR,nsaid,product,IBUPROFEN,curated_rule,DKI2153500243A1,IBUPROFEN
CALFEN,CALFEN,nsaid,product,IBUPROFEN,curated_rule,DKL2613716943A1,IBUPROFEN
CALSIVAS 10,CALSIVAS 10,ccb,product,AMLODIPINE,curated_rule,DKL0731527210B1,AMLODIPINE BESILATE
CALSIVAS 5,CALSIVAS 5,ccb,product,AMLODIPINE,curated_rule,DKL0731527210A1,AMLODIPINE BESILATE
CAMELOC,CAMELOC,nsaid,product,MELOXICAM,curated_rule,DKL0734607010A1 | DKL0734607010B1,MELOXICAM
CAMPAIN,CAMPAIN,nsaid,product,PIROXICAM,curated_rule,DKL8807907101B1,PIROXICAM
CANDEPRESS,CANDEPRESS,ace_arb,product,CANDESARTAN,curated_rule,DKL1502349810A1 | DKL1502349810B1,CANDESARTAN CILEXETIL
CANDERIN 16,CANDERIN 16,ace_arb,product,CANDESARTAN,curated_rule,DKL1105045910B1,CANDESARTAN CILEXETIL
