Nomor Registrasi,Nama Produk,product_name_norm,Zat_Aktif,zat_aktif_norm,reason
GKL2013614033A1,DOMPERIDONE,DOMPERIDONE,DOMPERIDONE,DOMPERIDONE,no_curated_drug_category_match
GKL2034300910A1,DOMPERIDONE,DOMPERIDONE,DOMPERIDONE,DOMPERIDONE,no_curated_drug_category_match
GKL2109612833A1,DOMPERIDONE,DOMPERIDONE,DOMPERIDONE,DOMPERIDONE,no_curated_drug_category_match
GKL2109613010A1,DOMPERIDONE,DOMPERIDONE,DOMPERIDONE,DOMPERIDONE,no_curated_drug_category_match
GKL2318835017A1,DOMPERIDONE,DOMPERIDONE,DOMPERIDONE,DOMPERIDONE,no_curated_drug_category_match
GKL2517633833A1,DOMPERIDONE,DOMPERIDONE,DOMPERIDONE,DOMPERIDONE,no_curated_drug_category_match
GKL2606324533A1,DOMPERIDONE,DOMPERIDONE,DOMPERIDONE,DOMPERIDONE,no_curated_drug_category_match
LKE24209020,DOMPERIDONE,DOMPERIDONE,DOMPERIDONE,DOMPERIDONE,no_curated_drug_category_match
GKL1032714410A1,DOMPERIDONE MALEATE,DOMPERIDONE MALEATE,DOMPERIDONE MALEATE,DOMPERIDONE MALEATE,no_curated_drug_category_match
GKL1234010410A1,DOMPERIDONE MALEATE,DOMPERIDONE MALEATE,DOMPERIDONE MALEATE,DOMPERIDONE MALEATE,no_curated_drug_category_match
GKL1240801617A1,DOMPERIDONE MALEATE,DOMPERIDONE MALEATE,DOMPERIDONE MALEATE,DOMPERIDONE MALEATE,no_curated_drug_category_match
GKL1523413310A1,DOMPERIDONE MALEATE,DOMPERIDONE MALEATE,DOMPERIDONE MALEATE,DOMPERIDONE MALEATE,no_curated_drug_category_match
GKL1609224010A1,DOMPERIDONE MALEATE,DOMPERIDONE MALEATE,DOMPERIDONE MALEATE,DOMPERIDONE MALEATE,no_curated_drug_category_match
GKL1736705410A1,DOMPERIDONE MALEATE,DOMPERIDONE MALEATE,DOMPERIDONE MALEATE,DOMPERIDONE MALEATE,no_curated_drug_category_match
GKL1831116633A1,DOMPERIDONE MALEATE,DOMPERIDONE MALEATE,DOMPERIDONE MALEATE,DOMPERIDONE MALEATE,no_curated_drug_category_match
GKL1831116710A1,DOMPERIDONE MALEATE,DOMPERIDONE MALEATE,DOMPERIDONE MALEATE,DOMPERIDONE MALEATE,no_curated_drug_category_match
GKL1928915910A1,DOMPERIDONE MALEATE,DOMPERIDONE MALEATE,DOMPERIDONE MALEATE,DOMPERIDONE MALEATE,no_curated_drug_category_match
GKL2044201917A1,DOMPERIDONE MALEATE,DOMPERIDONE MALEATE,DOMPERIDONE MALEATE,DOMPERIDONE MALEATE,no_curated_drug_category_match
GKL2102507910A1,DOMPERIDONE MALEATE,DOMPERIDONE MALEATE,DOMPERIDONE MALEATE,DOMPERIDONE MALEATE,no_curated_drug_category_match
GKL2425808110A1,DOMPERIDONE MALEATE,DOMPERIDONE MALEATE,DOMPERIDONE MALEATE,DOMPERIDONE MALEATE,no_curated_drug_category_match
DKL1928917310A1,DOMPERO,DOMPERO,DOMPERIDONE MALEATE,DOMPERIDONE MALEATE,no_curated_drug_category_match
DKL1333530517A1,DONACEPT,DONACEPT,DONEPEZIL HYDROCHLORIDE,DONEPEZIL HYDROCHLORIDE,no_curated_drug_category_match
DKL1733538592A1,DONACEPT,DONACEPT,DONEPEZIL HYDROCHLORIDE,DONEPEZIL HYDROCHLORIDE,no_curated_drug_category_match
DKL1733538592B1,DONACEPT,DONACEPT,DONEPEZIL HYDROCHLORIDE,DONEPEZIL HYDROCHLORIDE,no_curated_drug_category_match
GKL1415716217A1,DONEPEZIL HCL,DONEPEZIL HCL,DONEPEZIL HYDROCHLORIDE,DONEPEZIL HYDROCHLORIDE,no_curated_drug_category_match
GKL1943003717A1,DONEPEZIL HCL,DONEPEZIL HCL,DONEPEZIL HYDROCHLORIDE,DONEPEZIL HYDROCHLORIDE,no_curated_drug_category_match
GKL2031545717A1,DONEPEZIL HYDROCHLORIDE,DONEPEZIL HYDROCHLORIDE,DONEPEZIL HYDROCHLORIDE,DONEPEZIL HYDROCHLORIDE,no_curated_drug_category_match
GKL2405067681A1,DONEPEZIL HYDROCHLORIDE,DONEPEZIL HYDROCHLORIDE,DONEPEZIL HYDROCHLORIDE,DONEPEZIL HYDROCHLORIDE,no_curated_drug_category_match
GKL2431551081A1,DONEPEZIL HYDROCHLORIDE,DONEPEZIL HYDROCHLORIDE,DONEPEZIL HYDROCHLORIDE,DONEPEZIL HYDROCHLORIDE,no_curated_drug_category_match
GKL2431551081B1,DONEPEZIL HYDROCHLORIDE,DONEPEZIL HYDROCHLORIDE,DONEPEZIL HYDROCHLORIDE,DONEPEZIL HYDROCHLORIDE,no_curated_drug_category_match
DTL2215634910A1,DONEXAN,DONEXAN,PARACETAMOL. CHLORPHENAMINE MALEATE. PHENYLEPHRINE HYDROCHLORIDE. DEXTROMETHORPHAN HYDROBROMIDE,PARACETAMOL CHLORPHENAMINE MALEATE PHENYLEPHRINE HYDROCHLORIDE DEXTROMETHORPHAN HYDROBROMIDE,no_curated_drug_category_match
DKL8515605237A1,DONEXAN DX,DONEXAN DX,AMMONIUM CHLORIDE,AMMONIUM CHLORIDE,no_curated_drug_category_match
DKL8515605237A1,DONEXAN DX,DONEXAN DX,DEXTROMETHORPHAN HYDROBROMIDE,DEXTROMETHORPHAN HYDROBROMIDE,no_curated_drug_category_match
DKL8515605237A1,DONEXAN DX,DONEXAN DX,DIPHENHYDRAMINE HYDROCHLORIDE,DIPHENHYDRAMINE HYDROCHLORIDE,no_curated_drug_category_match
DKL8515605237A1,DONEXAN DX,DONEXAN DX,PHENYLEPHRINE HYDROCHLORIDE,PHENYLEPHRINE HYDROCHLORIDE,no_curated_drug_category_match
DKL8515605237A1,DONEXAN DX,DONEXAN DX,SODIUM CITRATE DIHYDRATE,SODIUM CITRATE DIHYDRATE,no_curated_drug_category_match
DTL8515605237A1,DONEXAN DX,DONEXAN DX,DIPHENHYDRAMINE HYDROCHLORIDE. DEXTROMETHORPHAN HYDROBROMIDE. PHENYLEPHRINE HYDROCHLORIDE. AMMONIUM CHLORIDE. SODIUM CITRATE DIHYDRATE,DIPHENHYDRAMINE HYDROCHLORIDE DEXTROMETHORPHAN HYDROBROMIDE PHENYLEPHRINE HYDROCHLORIDE AMMONIUM CHLORIDE SODIUM CITRATE DIHYDRATE,no_curated_drug_category_match
DKL7205503517A1,DOPAMET,DOPAMET,METHYLDOPA SESQUIHYDRATE,METHYLDOPA SESQUIHYDRATE,no_curated_drug_category_match
DKL2412434143A1,DOPAMIN GIULINI 200,DOPAMIN GIULINI 200,DOPAMINE HYDROCHLORIDE,DOPAMINE HYDROCHLORIDE,no_curated_drug_category_match
GKL2002363343A1,DOPAMINE HCL,DOPAMINE HCL,DOPAMINE HYDROCHLORIDE,DOPAMINE HYDROCHLORIDE,no_curated_drug_category_match
GKL1906719043A1,DOPAMINE HYDROCHLORIDE,DOPAMINE HYDROCHLORIDE,DOPAMINE HYDROCHLORIDE,DOPAMINE HYDROCHLORIDE,no_curated_drug_category_match
GKL2015632343A1,DOPAMINE HYDROCHLORIDE,DOPAMINE HYDROCHLORIDE,DOPAMINE HYDROCHLORIDE,DOPAMINE HYDROCHLORIDE,no_curated_drug_category_match
DKL1534611880A1,DORBAZ,DORBAZ,DORIPENEM MONOHYDRATE,DORIPENEM MONOHYDRATE,no_curated_drug_category_match
DKL9918213404A1,DORBIGOT,DORBIGOT,ACETYLCYSTEINE,ACETYLCYSTEINE,no_curated_drug_category_match
DKL9918213404A1,DORBIGOT,DORBIGOT,PARACETAMOL,PARACETAMOL,no_curated_drug_category_match
DKL9918213404A1,DORBIGOT,DORBIGOT,PARACETAMOL. ACETYLCYSTEINE,PARACETAMOL ACETYLCYSTEINE,no_curated_drug_category_match
DKL1904006610A1,DOREDOM,DOREDOM,DOMPERIDONE MALEATE,DOMPERIDONE MALEATE,no_curated_drug_category_match
DKL9921014210B1,"DORES 1,5",DORES 1 5,HALOPERIDOL,HALOPERIDOL,no_curated_drug_category_match
DKL9921014304A1,DORES 5,DORES 5,HALOPERIDOL,HALOPERIDOL,no_curated_drug_category_match
LKE15055088,DORIDONE TABLET,DORIDONE TABLET,DOMPERIDONE,DOMPERIDONE,no_curated_drug_category_match
GKL1404521680A1,DORIPENEM MONOHYDRATE,DORIPENEM MONOHYDRATE,DORIPENEM MONOHYDRATE,DORIPENEM MONOHYDRATE,no_curated_drug_category_match
GKL1631537780A1,DORIPENEM MONOHYDRATE,DORIPENEM MONOHYDRATE,DORIPENEM MONOHYDRATE,DORIPENEM MONOHYDRATE,no_curated_drug_category_match
GKL1733538480A1,DORIPENEM MONOHYDRATE,DORIPENEM MONOHYDRATE,DORIPENEM MONOHYDRATE,DORIPENEM MONOHYDRATE,no_curated_drug_category_match
DKL2427916904A1,DORMI PLUS,DORMI PLUS,PARACETAMOL. HYOSCINE BUTYLBROMIDE,PARACETAMOL HYOSCINE BUTYLBROMIDE,no_curated_drug_category_match
DKI1020200210A1,DORNER,DORNER,BERAPROST SODIUM,BERAPROST SODIUM,no_curated_drug_category_match
DKL1315622301A1,DOSIVEC,DOSIVEC,ERDOSTEINE,ERDOSTEINE,no_curated_drug_category_match
DKL1615624838A1,DOSIVEC,DOSIVEC,ERDOSTEINE,ERDOSTEINE,no_curated_drug_category_match
DKI1179500743A1,DOTAREM,DOTAREM,GADOTERIC ACID,GADOTERIC ACID,no_curated_drug_category_match
DKL2232723510A1,DOTIZ,DOTIZ,TIZANIDINE HYDROCHLORIDE,TIZANIDINE HYDROCHLORIDE,no_curated_drug_category_match
DKL2112432743A1,DOVASTROP,DOVASTROP,DOBUTAMINE HYDROCHLORIDE,DOBUTAMINE HYDROCHLORIDE,no_curated_drug_category_match
DKI2340401410A1,DOVPRELA,DOVPRELA,PRETOMANID,PRETOMANID,no_curated_drug_category_match
GKL1907923010B1,DOXAZOSIN MESILATE,DOXAZOSIN MESILATE,DOXAZOSIN MESILATE,DOXAZOSIN MESILATE,no_curated_drug_category_match
DKL1912429501A1,DOXEF,DOXEF,CEFADROXIL MONOHYDRATE,CEFADROXIL MONOHYDRATE,no_curated_drug_category_match
DKL1912429738A1,DOXEF,DOXEF,CEFADROXIL MONOHYDRATE,CEFADROXIL MONOHYDRATE,no_curated_drug_category_match
DKI2035401149A1,DOXEL 160,DOXEL 160,DOCETAXEL,DOCETAXEL,no_curated_drug_category_match
DKI2035401149A1,DOXEL 20,DOXEL 20,DOCETAXEL,DOCETAXEL,no_curated_drug_category_match
DKI2035401149A1,DOXEL 80,DOXEL 80,DOCETAXEL,DOCETAXEL,no_curated_drug_category_match
DKL1222251349A1,DOXETASAN,DOXETASAN,DOCETAXEL,DOCETAXEL,no_curated_drug_category_match
DKL2132721801A1,DOXETIN,DOXETIN,FLUOXETINE HYDROCHLORIDE,FLUOXETINE HYDROCHLORIDE,no_curated_drug_category_match
DKI2035500849A1,DOXOMED,DOXOMED,DOCETAXEL TRIHYDRATE,DOCETAXEL TRIHYDRATE,no_curated_drug_category_match
GKL1222250243A1,DOXORUBICIN HCL,DOXORUBICIN HCL,DOXORUBICIN HYDROCHLORIDE,DOXORUBICIN HYDROCHLORIDE,no_curated_drug_category_match
GKL1504428743A1,DOXORUBICIN HCL,DOXORUBICIN HCL,DOXORUBICIN HYDROCHLORIDE,DOXORUBICIN HYDROCHLORIDE,no_curated_drug_category_match
GKL1943900943A1,DOXORUBICIN HCL,DOXORUBICIN HCL,DOXORUBICIN HYDROCHLORIDE,DOXORUBICIN HYDROCHLORIDE,no_curated_drug_category_match
GKL2044300143A1,DOXORUBICIN HCL,DOXORUBICIN HCL,DOXORUBICIN HYDROCHLORIDE,DOXORUBICIN HYDROCHLORIDE,no_curated_drug_category_match
GKL2257900843A1,DOXORUBICIN HCL,DOXORUBICIN HCL,DOXORUBICIN HYDROCHLORIDE,DOXORUBICIN HYDROCHLORIDE,no_curated_drug_category_match
GKL1222250243A1,DOXORUBICIN HYDROCHLORIDE,DOXORUBICIN HYDROCHLORIDE,DOXORUBICIN HYDROCHLORIDE,DOXORUBICIN HYDROCHLORIDE,no_curated_drug_category_match
GKL2539205043A1,DOXORUBICIN HYDROCHLORIDE,DOXORUBICIN HYDROCHLORIDE,DOXORUBICIN HYDROCHLORIDE,DOXORUBICIN HYDROCHLORIDE,no_curated_drug_category_match
DKL1424403810A1,DRAMAMINE,DRAMAMINE,DIMENHYDRINATE,DIMENHYDRINATE,no_curated_drug_category_match
DKL1505050280A1,DRM,DRM,DORIPENEM MONOHYDRATE,DORIPENEM MONOHYDRATE,no_curated_drug_category_match
DKI2138100517A1,DROSPINYL,DROSPINYL,DROSPIRENONE. ETHINYLESTRADIOL,DROSPIRENONE ETHINYLESTRADIOL,no_curated_drug_category_match
DKL0621632501B1,DROVAX,DROVAX,CEFADROXIL MONOHYDRATE,CEFADROXIL MONOHYDRATE,no_curated_drug_category_match
DKL0833404601A1,DROXAL,DROXAL,CEFADROXIL MONOHYDRATE,CEFADROXIL MONOHYDRATE,no_curated_drug_category_match
DKL0833404738A1,DROXAL,DROXAL,CEFADROXIL MONOHYDRATE,CEFADROXIL MONOHYDRATE,no_curated_drug_category_match
DKL0833404738B1,DROXAL FORTE,DROXAL FORTE,CEFADROXIL MONOHYDRATE,CEFADROXIL MONOHYDRATE,no_curated_drug_category_match
DKL0319924101A1,DROXEFA,DROXEFA,CEFADROXIL MONOHYDRATE,CEFADROXIL MONOHYDRATE,no_curated_drug_category_match
DKL2538602010A1,DROXOL,DROXOL,AMBROXOL HYDROCHLORIDE,AMBROXOL HYDROCHLORIDE,no_curated_drug_category_match
DKL2036706301A1,DROXZILLA,DROXZILLA,CEFADROXIL MONOHYDRATE,CEFADROXIL MONOHYDRATE,no_curated_drug_category_match
GKL1502907143A1,DTP-HB-HIB,DTP HB HIB,DIPHTERIA TOXOID. TETANUS TOXOID. INACTIVATED BORDETELLA PERTUSSIS. HEPATITIS B SURFACE ANTIGEN. HAEMOPHILUS INFLUENZAE TYPE B POLYSACCHARIDE CONJUGATED TO TETANUS TOXOID,DIPHTERIA TOXOID TETANUS TOXOID INACTIVATED BORDETELLA PERTUSSIS HEPATITIS B SURFACE ANTIGEN HAEMOPHILUS INFLUENZAE TYPE B POLYSACCHARIDE CONJUGATED TO TETANUS TOXOID,no_curated_drug_category_match
DKL2115634263A1,DTRIVIT 5000,DTRIVIT 5000,CHOLECALCIFEROL,CHOLECALCIFEROL,no_curated_drug_category_match
DBL1721207537A1,DULCOLACTOL,DULCOLACTOL,LACTULOSE CONCENTRATE,LACTULOSE CONCENTRATE,no_curated_drug_category_match
DTL1821207915A1,DULCOLAX,DULCOLAX,BISACODYL,BISACODYL,no_curated_drug_category_match
DTL1921208253A1,DULCOLAX,DULCOLAX,BISACODYL,BISACODYL,no_curated_drug_category_match
DTL1921208253B1,DULCOLAX,DULCOLAX,BISACODYL,BISACODYL,no_curated_drug_category_match
LKE20212024,DULCOLAX S,DULCOLAX S,BISACODYL. DOCUSATE SODIUM,BISACODYL DOCUSATE SODIUM,no_curated_drug_category_match
DKI1718601703A1,DULOXTA 60,DULOXTA 60,DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,no_curated_drug_category_match
DBL0105510758A1,DUMIN,DUMIN,PARACETAMOL,PARACETAMOL,no_curated_drug_category_match
DBL0105510758B1,DUMIN,DUMIN,PARACETAMOL,PARACETAMOL,no_curated_drug_category_match
DBL8305501304A1,DUMIN,DUMIN,PARACETAMOL,PARACETAMOL,no_curated_drug_category_match
DBL8505505137A1,DUMIN,DUMIN,PARACETAMOL,PARACETAMOL,no_curated_drug_category_match
DBL1705518133A1,DUMIN FORTE,DUMIN FORTE,PARACETAMOL,PARACETAMOL,no_curated_drug_category_match
DPL7405506017A1,DUMOLID,DUMOLID,NITRAZEPAM,NITRAZEPAM,no_curated_drug_category_match
DKL2339204709A1,DUOCETZ,DUOCETZ,PARACETAMOL,PARACETAMOL,no_curated_drug_category_match
DKL2339204709A1,DUOCETZ,DUOCETZ,TRAMADOL HYDROCHLORIDE,TRAMADOL HYDROCHLORIDE,no_curated_drug_category_match
DKI1086001746A1,DUOTRAV,DUOTRAV,TRAVOPROST. TIMOLOL,TRAVOPROST TIMOLOL,no_curated_drug_category_match
DBI1381601737A2,DUPHALAC,DUPHALAC,LACTULOSE SOLUTION,LACTULOSE SOLUTION,no_curated_drug_category_match
DBL2000207837A1,DUPHALAC,DUPHALAC,LACTULOSE,LACTULOSE,no_curated_drug_category_match
DBL2000207837A1,DUPHALAC,DUPHALAC,LACTULOSE SOLUTION,LACTULOSE SOLUTION,no_curated_drug_category_match
DKI081601317A1,DUPHASTON,DUPHASTON,DYDROGESTERONE,DYDROGESTERONE,no_curated_drug_category_match
DKI1081601317A1,DUPHASTON,DUPHASTON,DYDROGESTERONE,DYDROGESTERONE,no_curated_drug_category_match
DKL1407920359A1,DUPLANT,DUPLANT,LEVONORGESTREL,LEVONORGESTREL,no_curated_drug_category_match
DKL2131548109A1,DURAFER,DURAFER,DEFERIPRONE,DEFERIPRONE,no_curated_drug_category_match
DKL2231549235A1,DURAFER,DURAFER,DEFERIPRONE,DEFERIPRONE,no_curated_drug_category_match
DKI2671500117A1,DURATIVE,DURATIVE,DAPOXETINE HYDROCHLORIDE,DAPOXETINE HYDROCHLORIDE,no_curated_drug_category_match
DKL1440401937A1,DUROCORT,DUROCORT,BETAMETHASONE,BETAMETHASONE,no_curated_drug_category_match
DKL1440401937A1,DUROCORT,DUROCORT,BETAMETHASONE. DEXCHLORPHENIRAMINE MALEATE,BETAMETHASONE DEXCHLORPHENIRAMINE MALEATE,no_curated_drug_category_match
DKL1440401937A1,DUROCORT,DUROCORT,DEXCHLORPHENIRAMINE MALEATE,DEXCHLORPHENIRAMINE MALEATE,no_curated_drug_category_match
DKL1940405410A1,DUROCORT,DUROCORT,BETAMETHASONE. DEXCHLORPHENIRAMINE MALEATE,BETAMETHASONE DEXCHLORPHENIRAMINE MALEATE,no_curated_drug_category_match
DNI1155202555A1,DUROGESIC 12 MCG/H,DUROGESIC 12 MCG H,FENTANYL,FENTANYL,no_curated_drug_category_match
DNI1155202555B1,DUROGESIC 25 MCG/H,DUROGESIC 25 MCG H,FENTANYL,FENTANYL,no_curated_drug_category_match
DNI1155202555C1,DUROGESIC 50 MCG/H,DUROGESIC 50 MCG H,FENTANYL,FENTANYL,no_curated_drug_category_match
DKI1327000616A1,DUSPATALIN,DUSPATALIN,MEBEVERINE HYDROCHLORIDE,MEBEVERINE HYDROCHLORIDE,no_curated_drug_category_match
GKL1833540702A1,DUTASTERIDE,DUTASTERIDE,DUTASTERIDE,DUTASTERIDE,no_curated_drug_category_match
DKL8112400710A1,DUVADILAN,DUVADILAN,ISOXSUPRINE HYDROCHLORIDE,ISOXSUPRINE HYDROCHLORIDE,no_curated_drug_category_match
DKL8112421343A1,DUVADILAN,DUVADILAN,ISOXSUPRINE HYDROCHLORIDE,ISOXSUPRINE HYDROCHLORIDE,no_curated_drug_category_match
DKL1212426310A1,DUVIRAL,DUVIRAL,LAMIVUDINE. ZIDOVUDINE,LAMIVUDINE ZIDOVUDINE,no_curated_drug_category_match
DTL0429000929A1,DYSFUNGAL,DYSFUNGAL,KETOCONAZOLE,KETOCONAZOLE,no_curated_drug_category_match
DTL0429001041B1,DYSFUNGAL SS,DYSFUNGAL SS,KETOCONAZOLE,KETOCONAZOLE,no_curated_drug_category_match
DKL1519931644A1,E-SOME,E SOME,ESOMEPRAZOLE SODIUM,ESOMEPRAZOLE SODIUM,no_curated_drug_category_match
DKL1943003044A1,E-ZOX,E ZOX,CEFTIZOXIME SODIUM,CEFTIZOXIME SODIUM,no_curated_drug_category_match
DKL9928400649A1,EAS PFRIMMER,EAS PFRIMMER,VALINE. XYLITOL. GLYCEROL. HISTIDINE. LEUCINE. ISOLEUCINE. LYSINE ACETATE. METHIONINE. PHENYLALANINE. THREONINE. TRYPTOPHAN,VALINE XYLITOL GLYCEROL HISTIDINE LEUCINE ISOLEUCINE LYSINE ACETATE METHIONINE PHENYLALANINE THREONINE TRYPTOPHAN,no_curated_drug_category_match
DKL2039000384A1,EASYEF,EASYEF,NEPIDERMIN,NEPIDERMIN,no_curated_drug_category_match
DKI2366800143A1,EASYFIVE-TT,EASYFIVE TT,DIPHTERIA TOXOID,DIPHTERIA TOXOID,no_curated_drug_category_match
DKI2366800143A1,EASYFIVE-TT,EASYFIVE TT,HAEMOPHILUS INFLUENZAE TYPE B POLYSACCHARIDE CONJUGATED TO TETANUS TOXOID,HAEMOPHILUS INFLUENZAE TYPE B POLYSACCHARIDE CONJUGATED TO TETANUS TOXOID,no_curated_drug_category_match
DKI2366800143A1,EASYFIVE-TT,EASYFIVE TT,HEPATITIS B SURFACE ANTIGEN,HEPATITIS B SURFACE ANTIGEN,no_curated_drug_category_match
DKI2366800143A1,EASYFIVE-TT,EASYFIVE TT,INACTIVATED BORDETELLA PERTUSSIS,INACTIVATED BORDETELLA PERTUSSIS,no_curated_drug_category_match
DKI2366800143A1,EASYFIVE-TT,EASYFIVE TT,TETANUS TOXOID,TETANUS TOXOID,no_curated_drug_category_match
DKL1805061049A1,EBATID,EBATID,EPTIFIBATIDE,EPTIFIBATIDE,no_curated_drug_category_match
DKI2649501643A1,EBUNAT,EBUNAT,ERIBULIN MESYLATE,ERIBULIN MESYLATE,no_curated_drug_category_match
DKI1272100880A1,ECALTA,ECALTA,ANIDULAFUNGIN,ANIDULAFUNGIN,no_curated_drug_category_match
DKL2142801529A1,ECONAZINE,ECONAZINE,ECONAZOLE NITRATE,ECONAZOLE NITRATE,no_curated_drug_category_match
DKL2142801529A1,ECONAZINE,ECONAZINE,TRIAMCINOLONE ACETONIDE,TRIAMCINOLONE ACETONIDE,no_curated_drug_category_match
DKI1277201549A1,ECOSOL NACL,ECOSOL NACL,SODIUM CHLORIDE,SODIUM CHLORIDE,no_curated_drug_category_match
DKL9902327244C1,ECOTRIXON,ECOTRIXON,CEFTRIAXONE SODIUM SESQUATERHYDRATE,CEFTRIAXONE SODIUM SESQUATERHYDRATE,no_curated_drug_category_match
DKI2159600144B1,ECRON 10,ECRON 10,VECURONIUM BROMIDE,VECURONIUM BROMIDE,no_curated_drug_category_match
DKI2159600144A1,ECRON 4,ECRON 4,VECURONIUM BROMIDE,VECURONIUM BROMIDE,no_curated_drug_category_match
DKI2671400149A1,EDARDEX,EDARDEX,EDARAVONE,EDARAVONE,no_curated_drug_category_match
DKL0309317143A1,EDEMIN,EDEMIN,FUROSEMIDE,FUROSEMIDE,no_curated_drug_category_match
DKL1006414501A1,EDOPECT,EDOPECT,ERDOSTEINE,ERDOSTEINE,no_curated_drug_category_match
DKL1206415338A1,EDOPECT,EDOPECT,ERDOSTEINE,ERDOSTEINE,no_curated_drug_category_match
DTL2532409836A1,EDORIN,EDORIN,PSEUDOEPHEDRINE HYDROCHLORIDE,PSEUDOEPHEDRINE HYDROCHLORIDE,no_curated_drug_category_match
DTL1422253136A1,EDORISAN,EDORISAN,PSEUDOEPHEDRINE HYDROCHLORIDE,PSEUDOEPHEDRINE HYDROCHLORIDE,no_curated_drug_category_match
DKL0734606501A1,EDOTIN,EDOTIN,ERDOSTEINE,ERDOSTEINE,no_curated_drug_category_match
DKL0734606638A1,EDOTIN,EDOTIN,ERDOSTEINE,ERDOSTEINE,no_curated_drug_category_match
DTL1835309536A1,EDRIN,EDRIN,PSEUDOEPHEDRINE HYDROCHLORIDE,PSEUDOEPHEDRINE HYDROCHLORIDE,no_curated_drug_category_match
DKI1410901017A1,EDURANT,EDURANT,RILPIVIRINE HYDROCHLORIDE,RILPIVIRINE HYDROCHLORIDE,no_curated_drug_category_match
DKL2343503917A1,EFANEX,EFANEX,EFAVIRENZ,EFAVIRENZ,no_curated_drug_category_match
GKL1312428417A1,EFAVIRENZ,EFAVIRENZ,EFAVIRENZ,EFAVIRENZ,no_curated_drug_category_match
GKL2343504017A1,EFAVIRENZ,EFAVIRENZ,EFAVIRENZ,EFAVIRENZ,no_curated_drug_category_match
GKL2533560017A1,EFAVIRENZ,EFAVIRENZ,EFAVIRENZ,EFAVIRENZ,no_curated_drug_category_match
GKL2143502417A1,EFAVIRENZ/ LAMIVUDINE/ TENOFOVIR DISOPROXIL FUMARATE,EFAVIRENZ LAMIVUDINE TENOFOVIR DISOPROXIL FUMARATE,EFAVIRENZ. LAMIVUDINE. TENOFOVIR DISOPROXIL FUMARATE,EFAVIRENZ LAMIVUDINE TENOFOVIR DISOPROXIL FUMARATE,no_curated_drug_category_match
GKL2212432917A1,EFAVIRENZ/ LAMIVUDINE/ TENOFOVIR DISOPROXIL FUMARATE,EFAVIRENZ LAMIVUDINE TENOFOVIR DISOPROXIL FUMARATE,TENOFOVIR DISOPROXIL FUMARATE. LAMIVUDINE. EFAVIRENZ,TENOFOVIR DISOPROXIL FUMARATE LAMIVUDINE EFAVIRENZ,no_curated_drug_category_match
GKL2223416317A1,EFAVIRENZ/ LAMIVUDINE/ TENOFOVIR DISOPROXIL FUMARATE,EFAVIRENZ LAMIVUDINE TENOFOVIR DISOPROXIL FUMARATE,EFAVIRENZ. LAMIVUDINE. TENOFOVIR DISOPROXIL FUMARATE,EFAVIRENZ LAMIVUDINE TENOFOVIR DISOPROXIL FUMARATE,no_curated_drug_category_match
GKL2244600317A1,EFAVIRENZ/ LAMIVUDINE/ TENOFOVIR DISOPROXIL FUMARATE,EFAVIRENZ LAMIVUDINE TENOFOVIR DISOPROXIL FUMARATE,EFAVIRENZ. LAMIVUDINE. TENOFOVIR DISOPROXIL FUMARATE,EFAVIRENZ LAMIVUDINE TENOFOVIR DISOPROXIL FUMARATE,no_curated_drug_category_match
DKL2533559917A1,EFAVIVELL,EFAVIVELL,EFAVIRENZ,EFAVIRENZ,no_curated_drug_category_match
DKL2358500143A1,EFESA,EFESA,EFEPOETIN ALFA,EFEPOETIN ALFA,no_curated_drug_category_match
DKI1191400603A1,EFEXOR XR,EFEXOR XR,VENLAFAXINE HYDROCHLORIDE,VENLAFAXINE HYDROCHLORIDE,no_curated_drug_category_match
DKI2563200203A1,EFEXOR XR,EFEXOR XR,VENLAFAXINE HYDROCHLORIDE,VENLAFAXINE HYDROCHLORIDE,no_curated_drug_category_match
DKL2517634028A1,EFFAGEL,EFFAGEL,ADAPALENE,ADAPALENE,no_curated_drug_category_match
DKI2056600117A1,EFFIENT,EFFIENT,PRASUGREL HYDROCHLORIDE,PRASUGREL HYDROCHLORIDE,no_curated_drug_category_match
DKI2056600117B1,EFFIENT,EFFIENT,PRASUGREL HYDROCHLORIDE,PRASUGREL HYDROCHLORIDE,no_curated_drug_category_match
DKL2032407833A1,EFICAP,EFICAP,SUCRALFATE,SUCRALFATE,no_curated_drug_category_match
DTL0333507641A1,EFISOL,EFISOL,DEQUALINIUM CHLORIDE,DEQUALINIUM CHLORIDE,no_curated_drug_category_match
DTL0333507712A1,EFISOL-C,EFISOL C,ASCORBIC ACID,ASCORBIC ACID,no_curated_drug_category_match
DTL0333507712A1,EFISOL-C,EFISOL C,DEQUALINIUM CHLORIDE,DEQUALINIUM CHLORIDE,no_curated_drug_category_match
DTL0333507712A1,EFISOL-C,EFISOL C,DEQUALINIUM CHLORIDE. ASCORBIC ACID,DEQUALINIUM CHLORIDE ASCORBIC ACID,no_curated_drug_category_match
DKL2207926959A1,EFLANO,EFLANO,ETONOGESTREL,ETONOGESTREL,no_curated_drug_category_match
DKL9815611810A1,EFLIN,EFLIN,PSEUDOEPHEDRINE HYDROCHLORIDE. TRIPROLIDINE HYDROCHLORIDE,PSEUDOEPHEDRINE HYDROCHLORIDE TRIPROLIDINE HYDROCHLORIDE,no_curated_drug_category_match
