Nomor Registrasi,Nama Produk,product_name_norm,Zat_Aktif,zat_aktif_norm,reason
DKL2041700949A1,ACETAR-MJB,ACETAR MJB,SODIUM CHLORIDE. POTASSIUM CHLORIDE. CALCIUM CHLORIDE DIHYDRATE. SODIUM ACETATE TRIHYDRATE,SODIUM CHLORIDE POTASSIUM CHLORIDE CALCIUM CHLORIDE DIHYDRATE SODIUM ACETATE TRIHYDRATE,no_curated_drug_category_match
GKL2506323810A1,ACETAZOLAMIDE,ACETAZOLAMIDE,ACETAZOLAMIDE,ACETAZOLAMIDE,no_curated_drug_category_match
DKL2022259301A1,ACETIN 200,ACETIN 200,ACETYLCYSTEINE,ACETYLCYSTEINE,no_curated_drug_category_match
DTL2022259301A1,ACETIN 200,ACETIN 200,ACETYLCYSTEINE,ACETYLCYSTEINE,no_curated_drug_category_match
DKL1422252411A1,ACETIN 600,ACETIN 600,ACETYLCYSTEINE,ACETYLCYSTEINE,no_curated_drug_category_match
DKL1040400117A1,ACETRAM,ACETRAM,TRAMADOL HYDROCHLORIDE. PARACETAMOL,TRAMADOL HYDROCHLORIDE PARACETAMOL,no_curated_drug_category_match
DKL1708024801A1,ACETRO,ACETRO,DIACEREIN,DIACEREIN,no_curated_drug_category_match
GKL1431535849A1,ACETYLCYSTEINE,ACETYLCYSTEINE,ACETYLCYSTEINE,ACETYLCYSTEINE,no_curated_drug_category_match
GKL1921027001A1,ACETYLCYSTEINE,ACETYLCYSTEINE,ACETYLCYSTEINE,ACETYLCYSTEINE,no_curated_drug_category_match
GKL2006720268A1,ACETYLCYSTEINE,ACETYLCYSTEINE,ACETYLCYSTEINE,ACETYLCYSTEINE,no_curated_drug_category_match
GKL2333557749A1,ACETYLCYSTEINE,ACETYLCYSTEINE,ACETYLCYSTEINE,ACETYLCYSTEINE,no_curated_drug_category_match
GTL1115711101A1,ACETYLCYSTEINE,ACETYLCYSTEINE,ACETYLCYSTEINE,ACETYLCYSTEINE,no_curated_drug_category_match
GTL1120938501A1,ACETYLCYSTEINE,ACETYLCYSTEINE,ACETYLCYSTEINE,ACETYLCYSTEINE,no_curated_drug_category_match
GTL1513711401A1,ACETYLCYSTEINE,ACETYLCYSTEINE,ACETYLCYSTEINE,ACETYLCYSTEINE,no_curated_drug_category_match
GTL1843000801A1,ACETYLCYSTEINE,ACETYLCYSTEINE,ACETYLCYSTEINE,ACETYLCYSTEINE,no_curated_drug_category_match
GTL2112432301A1,ACETYLCYSTEINE,ACETYLCYSTEINE,ACETYLCYSTEINE,ACETYLCYSTEINE,no_curated_drug_category_match
GTL2116712401A1,ACETYLCYSTEINE,ACETYLCYSTEINE,ACETYLCYSTEINE,ACETYLCYSTEINE,no_curated_drug_category_match
GTL2125907701A1,ACETYLCYSTEINE,ACETYLCYSTEINE,ACETYLCYSTEINE,ACETYLCYSTEINE,no_curated_drug_category_match
GTL2233317901A1,ACETYLCYSTEINE,ACETYLCYSTEINE,ACETYLCYSTEINE,ACETYLCYSTEINE,no_curated_drug_category_match
GTL2310403301A1,ACETYLCYSTEINE,ACETYLCYSTEINE,ACETYLCYSTEINE,ACETYLCYSTEINE,no_curated_drug_category_match
GTL2323416501A1,ACETYLCYSTEINE,ACETYLCYSTEINE,ACETYLCYSTEINE,ACETYLCYSTEINE,no_curated_drug_category_match
GTL2334016001A1,ACETYLCYSTEINE,ACETYLCYSTEINE,ACETYLCYSTEINE,ACETYLCYSTEINE,no_curated_drug_category_match
GTL2344204501A1,ACETYLCYSTEINE,ACETYLCYSTEINE,ACETYLCYSTEINE,ACETYLCYSTEINE,no_curated_drug_category_match
GKL0108504810B1,ACICLOVIR,ACICLOVIR,ACICLOVIR,ACICLOVIR,no_curated_drug_category_match
GKL0423408110B1,ACICLOVIR,ACICLOVIR,ACICLOVIR,ACICLOVIR,no_curated_drug_category_match
GKL0433510110A1,ACICLOVIR,ACICLOVIR,ACICLOVIR,ACICLOVIR,no_curated_drug_category_match
GKL0433510110B1,ACICLOVIR,ACICLOVIR,ACICLOVIR,ACICLOVIR,no_curated_drug_category_match
GKL0807118129A1,ACICLOVIR,ACICLOVIR,ACICLOVIR,ACICLOVIR,no_curated_drug_category_match
GKL1823414929A1,ACICLOVIR,ACICLOVIR,ACICLOVIR,ACICLOVIR,no_curated_drug_category_match
GKL1928916929A1,ACICLOVIR,ACICLOVIR,ACICLOVIR,ACICLOVIR,no_curated_drug_category_match
GKL2202365029A1,ACICLOVIR,ACICLOVIR,ACICLOVIR,ACICLOVIR,no_curated_drug_category_match
GKL2202365029A2,ACICLOVIR,ACICLOVIR,ACICLOVIR,ACICLOVIR,no_curated_drug_category_match
GKL2216713229A1,ACICLOVIR,ACICLOVIR,ACICLOVIR,ACICLOVIR,no_curated_drug_category_match
GKL2321648829A1,ACICLOVIR,ACICLOVIR,ACICLOVIR,ACICLOVIR,no_curated_drug_category_match
GKL2417632729A1,ACICLOVIR,ACICLOVIR,ACICLOVIR,ACICLOVIR,no_curated_drug_category_match
GKL2425807829A1,ACICLOVIR,ACICLOVIR,ACICLOVIR,ACICLOVIR,no_curated_drug_category_match
GKL9619918410A1,ACICLOVIR,ACICLOVIR,ACICLOVIR,ACICLOVIR,no_curated_drug_category_match
GKL9619918410B1,ACICLOVIR,ACICLOVIR,ACICLOVIR,ACICLOVIR,no_curated_drug_category_match
GKL9619918529A1,ACICLOVIR,ACICLOVIR,ACICLOVIR,ACICLOVIR,no_curated_drug_category_match
GKL9620919229A1,ACICLOVIR,ACICLOVIR,ACICLOVIR,ACICLOVIR,no_curated_drug_category_match
GKL9812415010B1,ACICLOVIR,ACICLOVIR,ACICLOVIR,ACICLOVIR,no_curated_drug_category_match
GKL9832703710A1,ACICLOVIR,ACICLOVIR,ACICLOVIR,ACICLOVIR,no_curated_drug_category_match
LKE23209015,ACICLOVIR,ACICLOVIR,ACICLOVIR,ACICLOVIR,no_curated_drug_category_match
GKL1306315129A1,ACICLOVIR 5%,ACICLOVIR 5,ACICLOVIR,ACICLOVIR,no_curated_drug_category_match
DKL9909209929A1,ACIFAR,ACIFAR,ACICLOVIR,ACICLOVIR,no_curated_drug_category_match
DKL9709207204A1,ACIFAR 200,ACIFAR 200,ACICLOVIR,ACICLOVIR,no_curated_drug_category_match
DKL0509207204B1,ACIFAR 400,ACIFAR 400,ACICLOVIR,ACICLOVIR,no_curated_drug_category_match
DBL7817604533A1,ACITRAL,ACITRAL,SIMETHICONE. ALUMINIUM HYDROXIDE GEL. MAGNESIUM HYDROXIDE,SIMETHICONE ALUMINIUM HYDROXIDE GEL MAGNESIUM HYDROXIDE,no_curated_drug_category_match
DBL8517603063A1,ACITRAL,ACITRAL,MAGNESIUM HYDROXIDE. SIMETHICONE. DRIED ALUMINIUM HYDROXIDE GEL,MAGNESIUM HYDROXIDE SIMETHICONE DRIED ALUMINIUM HYDROXIDE GEL,no_curated_drug_category_match
DKL9813308509B2,ACLAM 500,ACLAM 500,AMOXICILLIN TRIHYDRATE,AMOXICILLIN TRIHYDRATE,no_curated_drug_category_match
DKL9813308509B2,ACLAM 500,ACLAM 500,AMOXICILLIN TRIHYDRATE. POTASSIUM CLAVULANATE WITH MICROCRYSTALLINE CELLULOSE,AMOXICILLIN TRIHYDRATE POTASSIUM CLAVULANATE WITH MICROCRYSTALLINE CELLULOSE,no_curated_drug_category_match
DKL9813308509B2,ACLAM 500,ACLAM 500,POTASSIUM CLAVULANATE WITH MICROCRYSTALLINE CELLULOSE,POTASSIUM CLAVULANATE WITH MICROCRYSTALLINE CELLULOSE,no_curated_drug_category_match
DKI1641800549A1,ACLASTA,ACLASTA,ZOLEDRONIC ACID MONOHYDRATE,ZOLEDRONIC ACID MONOHYDRATE,no_curated_drug_category_match
DKI2221001549A1,ACLASTA,ACLASTA,ZOLEDRONIC ACID MONOHYDRATE,ZOLEDRONIC ACID MONOHYDRATE,no_curated_drug_category_match
DKL1920942129A1,ACLOVIR,ACLOVIR,ACICLOVIR,ACICLOVIR,no_curated_drug_category_match
DKL1235804728A1,ACNEBENZ,ACNEBENZ,BENZOYL PEROXIDE,BENZOYL PEROXIDE,no_curated_drug_category_match
DKL2107926328A1,ACNECLIN,ACNECLIN,CLINDAMYCIN PHOSPHATE,CLINDAMYCIN PHOSPHATE,no_curated_drug_category_match
DKL2517635429A1,ACNEDINE,ACNEDINE,NADIFLOXACIN,NADIFLOXACIN,no_curated_drug_category_match
DKL2606324829A1,ACNELA,ACNELA,TRETINOIN,TRETINOIN,no_curated_drug_category_match
DKL0807119329A1,ACNOSIL,ACNOSIL,TRETINOIN,TRETINOIN,no_curated_drug_category_match
DKL9822223843A1,ACRAN,ACRAN,RANITIDINE HYDROCHLORIDE,RANITIDINE HYDROCHLORIDE,no_curated_drug_category_match
DKL9322214817A1,ACRAN 150,ACRAN 150,RANITIDINE HYDROCHLORIDE,RANITIDINE HYDROCHLORIDE,no_curated_drug_category_match
DKI2040400917A1,ACRIPTEGA,ACRIPTEGA,DOLUTEGRAVIR SODIUM. LAMIVUDINE. TENOFOVIR DISOPROXIL FUMARATE,DOLUTEGRAVIR SODIUM LAMIVUDINE TENOFOVIR DISOPROXIL FUMARATE,no_curated_drug_category_match
DKI1031700749A1,ACTABONE,ACTABONE,CLODRONATE DISODIUM TETRAHYDRATE,CLODRONATE DISODIUM TETRAHYDRATE,no_curated_drug_category_match
