Nomor Registrasi,Nama Produk,product_name_norm,Zat_Aktif,zat_aktif_norm,drug_category,match_pattern,match_type,source
DKL2534617514A1,FLIPTIN MAX,FLIPTIN MAX,SITAGLIPTIN PHOSPHATE MONOHYDRATE,SITAGLIPTIN PHOSPHATE MONOHYDRATE,antidiabetes,SITAGLIPTIN,token_substring,curated_rule
DKL2534617514B1,FLIPTIN MAX,FLIPTIN MAX,METFORMIN HYDROCHLORIDE,METFORMIN HYDROCHLORIDE,antidiabetes,METFORMIN,token_substring,curated_rule
DKL2534617514B1,FLIPTIN MAX,FLIPTIN MAX,SITAGLIPTIN PHOSPHATE MONOHYDRATE,SITAGLIPTIN PHOSPHATE MONOHYDRATE,antidiabetes,SITAGLIPTIN,token_substring,curated_rule
DKL0033201609A1,FLOKSID,FLOKSID,CIPROFLOXACIN HYDROCHLORIDE MONOHYDRATE,CIPROFLOXACIN HYDROCHLORIDE MONOHYDRATE,antibiotik_fluorokuinolon,CIPROFLOXACIN,token_substring,curated_rule
DKL0033302617A1,FLOTAVID 200,FLOTAVID 200,OFLOXACIN,OFLOXACIN,antibiotik_fluorokuinolon,OFLOXACIN,token_substring,curated_rule
DKL0203809246A1,FLOXA,FLOXA,OFLOXACIN,OFLOXACIN,antibiotik_fluorokuinolon,OFLOXACIN,token_substring,curated_rule
DKL1032405449A1,FLOXACAP,FLOXACAP,LEVOFLOXACIN HEMIHYDRATE,LEVOFLOXACIN HEMIHYDRATE,antibiotik_fluorokuinolon,LEVOFLOXACIN,token_substring,curated_rule
DKL0932403317A1,FLOXACAP 500,FLOXACAP 500,LEVOFLOXACIN HEMIHYDRATE,LEVOFLOXACIN HEMIHYDRATE,antibiotik_fluorokuinolon,LEVOFLOXACIN,token_substring,curated_rule
DKL1718828749A1,FLOXARIS,FLOXARIS,MOXIFLOXACIN HYDROCHLORIDE,MOXIFLOXACIN HYDROCHLORIDE,antibiotik_fluorokuinolon,MOXIFLOXACIN,token_substring,curated_rule
DKL2018833509A1,FLOXARIS,FLOXARIS,MOXIFLOXACIN HYDROCHLORIDE,MOXIFLOXACIN HYDROCHLORIDE,antibiotik_fluorokuinolon,MOXIFLOXACIN,token_substring,curated_rule
DKL1207919317B1,FLOXIDIN 500,FLOXIDIN 500,LEVOFLOXACIN HEMIHYDRATE,LEVOFLOXACIN HEMIHYDRATE,antibiotik_fluorokuinolon,LEVOFLOXACIN,token_substring,curated_rule
DKL0409214409A2,FLOXIFAR,FLOXIFAR,CIPROFLOXACIN HYDROCHLORIDE MONOHYDRATE,CIPROFLOXACIN HYDROCHLORIDE MONOHYDRATE,antibiotik_fluorokuinolon,CIPROFLOXACIN,token_substring,curated_rule
DKL0409214409A2,FLOXIFAR,FLOXIFAR,CIPROFLOXACIN HYDROCHLORIDE,CIPROFLOXACIN HYDROCHLORIDE,antibiotik_fluorokuinolon,CIPROFLOXACIN,token_substring,curated_rule
DKL9431113709A1,FLOXIGRA,FLOXIGRA,CIPROFLOXACIN HYDROCHLORIDE MONOHYDRATE,CIPROFLOXACIN HYDROCHLORIDE MONOHYDRATE,antibiotik_fluorokuinolon,CIPROFLOXACIN,token_substring,curated_rule
DKI2461900243A1,FONDAPAR,FONDAPAR,FONDAPARINUX SODIUM,FONDAPARINUX SODIUM,antikoagulan,FONDAPARINUX,token_substring,curated_rule
GKL2005064543A1,FONDAPARINUX SODIUM,FONDAPARINUX SODIUM,FONDAPARINUX SODIUM,FONDAPARINUX SODIUM,antikoagulan,FONDAPARINUX,token_substring,curated_rule
GKL2031546843A1,FONDAPARINUX SODIUM,FONDAPARINUX SODIUM,FONDAPARINUX SODIUM,FONDAPARINUX SODIUM,antikoagulan,FONDAPARINUX,token_substring,curated_rule
GKL2031546843A2,FONDAPARINUX SODIUM,FONDAPARINUX SODIUM,FONDAPARINUX SODIUM,FONDAPARINUX SODIUM,antikoagulan,FONDAPARINUX,token_substring,curated_rule
GKL2033548043A1,FONDAPARINUX SODIUM,FONDAPARINUX SODIUM,FONDAPARINUX SODIUM,FONDAPARINUX SODIUM,antikoagulan,FONDAPARINUX,token_substring,curated_rule
DKL2032721343A1,FONDARIN,FONDARIN,FONDAPARINUX SODIUM,FONDAPARINUX SODIUM,antikoagulan,FONDAPARINUX,token_substring,curated_rule
DKL1834613314A1,FONYLIN MR,FONYLIN MR,GLICLAZIDE,GLICLAZIDE,antidiabetes,GLICLAZIDE,token_substring,curated_rule
DKL0422217617B1,FORBETES 500,FORBETES 500,METFORMIN HYDROCHLORIDE,METFORMIN HYDROCHLORIDE,antidiabetes,METFORMIN,token_substring,curated_rule
DKL1822254506A1,FORBETES 500 XR,FORBETES 500 XR,METFORMIN HYDROCHLORIDE,METFORMIN HYDROCHLORIDE,antidiabetes,METFORMIN,token_substring,curated_rule
DKL9522217617A1,FORBETES 850,FORBETES 850,METFORMIN HYDROCHLORIDE,METFORMIN HYDROCHLORIDE,antidiabetes,METFORMIN,token_substring,curated_rule
DKL1632406214A1,FORDICA 500 XR,FORDICA 500 XR,METFORMIN HYDROCHLORIDE,METFORMIN HYDROCHLORIDE,antidiabetes,METFORMIN,token_substring,curated_rule
DKL2532410109A1,FORDICA PLUS 500/5,FORDICA PLUS 500 5,GLIBENCLAMIDE,GLIBENCLAMIDE,antidiabetes,GLIBENCLAMIDE,token_substring,curated_rule
DKL2532410109A1,FORDICA PLUS 500/5,FORDICA PLUS 500 5,METFORMIN HYDROCHLORIDE,METFORMIN HYDROCHLORIDE,antidiabetes,METFORMIN,token_substring,curated_rule
DKI2048600243A1,FORIXTRA,FORIXTRA,FONDAPARINUX SODIUM,FONDAPARINUX SODIUM,antikoagulan,FONDAPARINUX,token_substring,curated_rule
DKL2008519448A1,FOROTIC,FOROTIC,OFLOXACIN,OFLOXACIN,antibiotik_fluorokuinolon,OFLOXACIN,token_substring,curated_rule
LKE22227017,FORPAIN,FORPAIN,PARACETAMOL. CAFFEINE,PARACETAMOL CAFFEINE,xantin,CAFFEINE,token_substring,curated_rule
DKI1735301317A1,FORXIGA,FORXIGA,DAPAGLIFLOZIN PROPANEDIOL,DAPAGLIFLOZIN PROPANEDIOL,antidiabetes,DAPAGLIFLOZIN,token_substring,curated_rule
DKI1735301317B1,FORXIGA,FORXIGA,DAPAGLIFLOZIN PROPANEDIOL,DAPAGLIFLOZIN PROPANEDIOL,antidiabetes,DAPAGLIFLOZIN,token_substring,curated_rule
DKL2610810210B1,FRI - ART,FRI ART,MELOXICAM,MELOXICAM,nsaid,MELOXICAM,token_substring,curated_rule
DKL0717622810A1,FRILADAR 2,FRILADAR 2,GLIMEPIRIDE,GLIMEPIRIDE,antidiabetes,GLIMEPIRIDE,token_substring,curated_rule
DKL0717622810B1,FRILADAR 3,FRILADAR 3,GLIMEPIRIDE,GLIMEPIRIDE,antidiabetes,GLIMEPIRIDE,token_substring,curated_rule
DKL2539200910B1,FULOPIN 10,FULOPIN 10,AMLODIPINE BESILATE,AMLODIPINE BESILATE,ccb,AMLODIPINE,token_substring,curated_rule
DKL1139200910A1,FULOPIN 5,FULOPIN 5,AMLODIPINE BESILATE,AMLODIPINE BESILATE,ccb,AMLODIPINE,token_substring,curated_rule
LKE17045026,FUNXION,FUNXION,PREGABALIN,PREGABALIN,antikonvulsan,PREGABALIN,token_substring,curated_rule
