komposisi_norm,jumlah_merek,jumlah_registrasi,daftar_merek,daftar_nomor_registrasi,komposisi
HYDROCORTISONE ACETATE,8,19,"BERLICORT | CASPERZON | CORTIGEN | HYDROCORTISONE ACETATE | LEXACORTON | MIRACORT | NESTACORT 2,5 % | OMNICORT",DKL0310805429A1 | DKL0807118029A1 | DKL1816709029A1 | DKL1823414529A1 | DKL2358400129A1 | DKL9730904429A1 | DKL9809208629B1 | GKL0114101229B1 | GKL1600915929A1 | GKL1806510129A1 | GKL1816709229A1 | GKL1823414429A1 | GKL2132302929A1 | GKL2358400229A1 | GKL7211642829A1 | GKL7211642829B1 | GKL9402320129A1 | GKL9514101229A1 | GKL9807107029B1,HYDROCORTISONE ACETATE
OXALIPLATIN,8,18,BELLOXA | ELOXATIN | OXAFON | OXALIPLATIN | OXALIPLATIN MEDAC | OXITAN | REXTA | SANROXA,DKI1030600180A1 | DKI1030600180B1 | DKI1359202649A1 | DKI1725400843A1 | DKL1322251949A1 | DKL1943900544A1 | DKL1943900544B1 | DKL2041501349A1 | DKL2044300843A1 | DKL2243902349A1 | GKL1322252049A1 | GKL1943900444A1 | GKL1943900444B1 | GKL2034615549A1 | GKL2044300943A1 | GKL2143902249A1 | GKL2257900644B1 | GKL2357901449A1,OXALIPLATIN
ACARBOSE,8,17,ACARBOSE | ACRIOS | CAPRIBOSE | CAPRIBOSE 100 | DIARVIT | ECLID | GLUBOSE | GLUCOBAY 50,DKL0905043810A1 | DKL0905043810B1 | DKL1134609210A1 | DKL1134609210B1 | DKL1205516010A1 | DKL1205516010B1 | DKL1632406310A1 | DKL1632406310B1 | DKL2233554410A1 | DKL2233554410B1 | DKL9302002410A1 | GKL1105045110A1 | GKL1431536510A1 | GKL1431536510B1 | GKL2133552310A1 | GKL2133552310B1 | GKL2244405010B1,ACARBOSE
MONTELUKAST SODIUM,8,17,ASPIRA | BLOKTIENE | DIPLUKAST | ISIVAS | MONARIN | MONTELUKAST SODIUM | RYMONT | SINGULAIR,DKI1618600517A1 | DKI2055600117A1 | DKI2162100117A1 | DKL1533534117A1 | DKL1802506417A1 | DKL1833541522A1 | DKL1931543817A1 | DKL2006609717A1 | DKL2106609963A1 | DKL2233554319A1 | DKL2405068717A1 | GKL1802506517A1 | GKL1931543917A1 | LKE18066180 | LKE18066185 | LKE18066187 | LKE21066202,MONTELUKAST SODIUM
DEXAMETHASONE SODIUM PHOSPHATE,8,15,BENODEX | CENDO METHASONE | CORSONA | CORTIDEX | DEXAHARSEN | DEXAMETHASONE SODIUM PHOSPHATE | INDEXON | XETSON,DKL1307919843A1 | DKL1307919843A2 | DKL1602352643A1 | DKL7803811746A1 | DKL8719906343A1 | DKL8722207143A1 | DKL9717613343A1 | GKL1615625643A1 | GKL2109325143A1 | GKL2117630343A1 | GKL2233317843A1 | GKL7802347743A1 | GKL7820907643A1 | GKL8619906143A1 | LKE19408003,DEXAMETHASONE SODIUM PHOSPHATE
PYRANTEL PAMOATE,8,15,COMBANTRIN | COMBITRIN | COMPYRANTEL | PANTRIN | PYRANTEL PAMOATE | TABANTRIN | UPIXON | WORMETRIN,DTL0802005333A1 | DTL1715207133A1 | DTL2006512433A1 | DTL2106320533A1 | DTL2117115510A1 | DTL2217115633A1 | DTL7607921004A1 | DTL8715202304A1 | DTL9606309604A1 | GTL1807922304A1 | GTL2244405210A1 | GTL9917106310A1 | GTL9917106433A1 | LKE15198018 | LKE23412012,PYRANTEL PAMOATE
DOBUTAMINE HYDROCHLORIDE,8,12,CARDIOTONE | DOBUTAMINE HCL | DOBUTAMINE HYDROCHLORIDE | DOBUTAX | DOBUTEL | DOMINE | DOVASTROP | INOTROP,DKL0233507343A1 | DKL1104000343A1 | DKL1702354443A1 | DKL1908026343A1 | DKL2112432743A1 | DKL9531510243A1 | GKL1105045643A1 | GKL1315714149A1 | GKL1602351943A1 | GKL1806718543A1 | GKL2112432643A1 | GKL2206718543B1,DOBUTAMINE HYDROCHLORIDE
FONDAPARINUX SODIUM,8,12,ARIXTRA | DIVITI | FONDAPAR | FONDAPARINUX SODIUM | FONDARIN | FORIXTRA | VASOLA | VENAX,DKI1785100943A1 | DKI2048600243A1 | DKI2461900243A1 | DKL1605053143A1 | DKL2031546943A1 | DKL2031546943A2 | DKL2032721343A1 | DKL2033547943A1 | GKL2005064543A1 | GKL2031546843A1 | GKL2031546843A2 | GKL2033548043A1,FONDAPARINUX SODIUM
TAMSULOSIN HYDROCHLORIDE,8,12,FARLOSIN SR | HARNAL D | HARNAL OCAS | PROSTAM SR | SIMLOSIN | TAMIVA SR | TAMPROSTAT | TAMSULOSIN HYDROCHLORIDE,DKI1029000481A1 | DKI1120100414A1 | DKI2143401014A1 | DKL1333529014A1 | DKL2328212014A1 | DKL2417632314A1 | DKL2515636714A1 | GKL1733537514A1 | GKL2305519714A1 | GKL2405068514A1 | GKL2417632414A1 | GKL2515636814A1,TAMSULOSIN HYDROCHLORIDE
VALPROIC ACID,8,12,DEPAKENE | DEPVAL | GARKENE | LEPSIO | PYRILEP | VALPROIC ACID | VELLEPSY | VERONIL,DKL1333529237A1 | DKL1405048637A1 | DKL1633313637A1 | DKL1908026437A1 | DKL2121648537A1 | DKL2221029337A1 | DKL7800201637A1 | DKL7800201637A2 | GKL1405048737A1 | GKL1415716637A1 | GKL1733315237A1 | GKL2221029437A1,VALPROIC ACID
AMIODARONE HYDROCHLORIDE,8,10,AMIODARONE HCL | AMIODARONE HYDROCHLORIDE | CORDARONE | KENDARON | REXIDRON | RITMION | RYTHMA | TIARYT,DKI1077402943A1 | DKL0004515410A1 | DKL0633517510A1 | DKL1031529443A1 | DKL2306720843A1 | GKL1404521443A1 | GKL1806717543A1 | GKL2004530010A1 | GKL2133551543A1 | LKE12045009,AMIODARONE HYDROCHLORIDE
ERYTHROMYCIN ETHYL SUCCINATE,8,10,CORSATROCIN | ERYRA | ERYSANBE | ERYTHRIN | ERYTHROMYCIN ETHYL SUCCINATE | ERYTHROMYCIN ETHYLSUCCINATE | PHYLOCIN | TROVILON,DKL1309222938A1 | DKL7617622638A1 | DKL7822225638A1 | DKL8504301638A1 | DKL8528901838A1 | DKL9917107738A1 | GKL1421021104A1 | GKL1628913738A1 | GKL1917113938A1 | LKE23209016,ERYTHROMYCIN ETHYL SUCCINATE
CHLORPHENAMINE MALEATE | PARACETAMOL | PHENYLPROPANOLAMINE HYDROCHLORIDE,8,9,DECOLGEN FORTE 325 | ERPHAFLU | FLU - TAB | METAFLU | MOLEXFLU | PIMTRACOLD EXTRA | TRANAFLU | ULTRAFLU,DTL7808102404A2 | DTL8106402004A1 | DTL8106412237A1 | DTL8716003004A1 | DTL9230901304A1 | DTL9308000410A1 | DTL9531900637A1 | LKE16147042 | LKE20189005,CHLORPHENAMINE MALEATE | PARACETAMOL | PHENYLPROPANOLAMINE HYDROCHLORIDE
CILOSTAZOL,8,9,AGGRAVAN | CILOSTAZOL | CITAZ 100 | NALETAL - 100 | NALETAL - 50 | PLETAAL | PLETAAL SR | STAZOL,DKI1509700503A1 | DKL0104418410B1 | DKL0205031310A1 | DKL0308013110A1 | DKL0308013110B1 | DKL0318706110B1 | DKL0402335510A2 | GKL0502337810A1 | GKL2543012110A1,CILOSTAZOL
FINASTERIDE,8,9,FINASTERID | FINASTERIDE | FINAZIDE | FINPRO | PROPECIA | PROSCAR | PROSTACOM | REPROSTOM,DKL2409228217A1 | DKL9631511217A1 | DKL9704122417A1 | DKL9917616317A1 | GKL1804134417A1 | GKL2007924117A1 | GKL2415635917A1 | LKE18066186 | LKE18066188,FINASTERIDE
HEPATITIS B SURFACE ANTIGEN,8,9,ENGERIX-B (ADULT) | ENGERIX-B (PEDIATRIC) | EUVAX B (ADULT) | EUVAX B (PEDIATRIC) | HBV | VAKSIN HEPATITIS B REKOMBINAN | VECON ADULT | VECON PEDIATRIC,DKI2176703243A1 | DKI2176703243B1 | DKI2461000243A1 | DKI2461000243A2 | DKI2461000243B1 | DKI2501300543A1 | DKI2501300543B1 | DKL0302905943A1 | GKL9802905543A1,HEPATITIS B SURFACE ANTIGEN
POVIDONE-IODINE,8,9,"BETADINE FEMININE HYGIENE | BETADINE MOUTHWASH AND GARGLE | BETADINE THROAT SPRAY | BETADINE VAGINAL DOUCHE | DINASEPT | IFIDINE | SOLUJOD 2,5% | UNIDINE",DKL1103813446A1 | DKL7813703066A1 | DTI1950100291A1 | DTI2250100391A1 | DTL1613711841B1 | DTL1909611941A1 | DTL7413700640B1 | DTL7807911241A1 | DTL9626301741A1,POVIDONE-IODINE
THIAMINE MONONITRATE. PYRIDOXINE HYDROCHLORIDE. CYANOCOBALAMIN,8,9,BIOCOMBIN | DANEURON | IKANEURON | KALNEURON | MERSIBION | NERVION 5000 | NEURAXON 5000 | PROBION,DBL0033201817A1 | DBL0408510217A1 | DBL0721015109A1 | DBL1606418717A1 | DBL7815607909A1 | DBL9509310717A1 | DBL9933301809A1 | LKE23085007 | LKE24212031,THIAMINE MONONITRATE. PYRIDOXINE HYDROCHLORIDE. CYANOCOBALAMIN
CINNARIZINE,8,8,BRAZINE | CINERGEN | GORON | MERRON 25 | NARMIG | PERIFAS | STUGERON | VERTIZINE,DKL0333304717A1 | DKL0733404304A1 | DKL1024400710A1 | DKL1306314310A1 | DKL1718830110A1 | DKL1843000110A1 | DKL2216712810A1 | DKL8502306010A1,CINNARIZINE
DILTIAZEM HYDROCHLORIDE,8,8,DILTIASAN | DILTIAZEM HCL | DILTIAZEM HYDROCHLORIDE | FARMABES 30 | FARMABES 5 | HERBESSER | HERBESSER CD 100 | HERBESSER CD 200,DKI1334200144B1 | DKL2022259143A1 | DKL8931502610A1 | DKL9831517643A1 | GKL1731539443A1 | GKL9005007310A1 | LKE22252002 | LKE22252003,DILTIAZEM HYDROCHLORIDE
DRIED ALUMINIUM HYDROXIDE GEL. MAGNESIUM HYDROXIDE. SIMETHICONE,8,8,LEXACROL FORTE | NOVAMAG | PIMAG | POLYCROL 400 | STOMACH | TICOMAG | TROPIMAG | ULTILOX FORTE,DBL0126006663A1 | DBL0534005633A1 | DBL8516903763A1 | DBL9004204963B1 | DBL9117801663A1 | DBL9830906033A2 | DBL9933400463A1 | LKE18189002,DRIED ALUMINIUM HYDROXIDE GEL. MAGNESIUM HYDROXIDE. SIMETHICONE
GEFITINIB,8,8,ACTAGEF | GEFISET | GEFITAB | GEFITERO | GEFITINIB | GENESSA | IRESSA | IRETINIB,DKI1235300217A1 | DKI1943400217A1 | DKI2018603417A1 | DKI2084400917A1 | DKI2255800217A1 | DKI2536200617A1 | DKL2544301817A1 | GKL2544301617A1,GEFITINIB
LEVONORGESTREL. ETHINYLESTRADIOL,8,8,ANDALAN | CYCLOGYNON | MICROGYNON (LIBI) | MORIBIT | PIL KB 1 KOMBINASI | PIL KB HARMONIS | PIL KB I KOMBINASI | PILKAB,DKI1825800416A1 | DKL0307915316A1 | DKL0526111316A1 | DKL0631807316A1 | DKL0707917716A1 | DKL1439800517A1 | GKL0631526717A1 | LKE22186001,LEVONORGESTREL. ETHINYLESTRADIOL
NIFUROXAZIDE,8,8,DIAFURAL | FUZIDE | HUFAFURAL | NIFUDIAR | NIFURAL | NIRAL | SANFURO | ZEFURAL,DKL0415618133A1 | DKL0618820533A1 | DKL0807809933A1 | DKL1122249533A1 | DKL1708024337A1 | DKL1809224933A1 | DKL2127916033A1 | DKL7804522537A1,NIFUROXAZIDE
